,File_List,Header,Text
0,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_4.png']",ABRASIVE MATERIALS,LAIRD DE VOU INC Abrasive 8; Cutting Specialists 1201 Eddy St (02905) Tel 781-6282
1,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_5.png'],ABRASIVE MATERIALS,Michigan Abrasive Co 16 East River St
2,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_7.png'],ABRASIVES-MFRS,Laird De Vou Inc 1201 Eddy St
3,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_9.png']",ABRASIVES-MFRS,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
4,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_12.png']",ABSTRACTS OF TITLE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
5,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_15.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Accinno John J 354 Broadway
6,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_16.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Allegretti & Co 111 Westminster St Rm 630
7,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_17.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Andreoni & Co 2 Thomas St
8,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_19.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Blackman & Blackman 111 Westminster St Rm 1209
9,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_20.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Campana Philip J 170 Westminster St Rm 300
10,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_22.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Catoni Louis 1145 Reservoir Av Cranston R I (02920) Tel 944-4450
11,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_24.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_25.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Christiansen & Co 533 Industrial Bank Bldg 111 Westminster St (02903), Tel (401) 751- 7511"
12,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_26.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Cohn Newton B 15 Westminster St Rm 810
13,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_27.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Connor Ralph J 198 Dyer St Rm 215
14,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_28.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Di Stefano & Co 741 Howard Bldg
15,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_30.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Ernst & Ernst One Hospital Trust Plaza (02903), Tel 331-7000"
16,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_31.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Fielding Ralph R 15 Westminster St Rm 604
17,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_32.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Harris & Gifford 15 Westminster St Rm 815.
18,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_33.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_34.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Haskins & Sells 1501 Hospital Trust Tower (02903), Tel 861-0740"
19,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_36.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Levesque Colucci & Co 245 Waterman St Rm 403
20,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_37.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Markoff Eli 111 Westminster St Rm 1915
21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_38.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Martone Robt 34 Brinkley St
22,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_40.png']",ACCOUNTANTS-CERTIFIED PUBLIC,O'Brien E L & Co 111 Westminster St Rm 2002
23,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_1.png'],ACCOUNTANTS-CERTIFIED PUBLIC,
24,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_4.png']",CONTD,Peat Marwick Mitchell & Co 40 Westminster St Rm 1800
25,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_5.png'],CONTD,Picchione Nicholas & Co 480 Benefit St
26,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_6.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_7.png']",CONTD,Price Waterhouse & Co 40 Westminster St (Suite 1200) (02903) Tel 421-0501
27,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_8.png'],CONTD,Selinker Solomon E 472 Smith St
28,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_9.png'],CONTD,Shea Quinlan J 15 Westminster St Rm 928
29,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_10.png'],CONTD,Sholes Andrew G 40 Westminster St Rm 1005
30,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_12.png']",CONTD,Silverman Jones & Co 15 Westminster St Rm 840
31,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_13.png'],CONTD,Villatico Guy 60 Broadway Suite G
32,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_14.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_15.png']",CONTD,Ward Fisher & Co 111 Westminster St Rm 510
33,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_16.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_17.png']",CONTD,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800"
34,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_19.png'],ACCOUNTANTS-PUBLIC,Allen David 76 Westminster St Rm 1105
35,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_20.png'],ACCOUNTANTS-PUBLIC,Ambrif'x & Assoc 34 Pontiac Av Rm 1
36,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_21.png'],ACCOUNTANTS-PUBLIC,Ayers Earl 547 Mt Pleasant Av
37,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_22.png'],ACCOUNTANTS-PUBLIC,Barone Norman A 703 Fruit Hill Av (N Prov)
38,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_23.png'],ACCOUNTANTS-PUBLIC,Bergman Paul 270 Cole Av
39,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_24.png'],ACCOUNTANTS-PUBLIC,Blake Harvey Accounting 1051 Broad St
40,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_25.png'],ACCOUNTANTS-PUBLIC,Bresef'leld Wm A 224 Villa Av (N Prov)
41,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_26.png'],ACCOUNTANTS-PUBLIC,Brown Lawrence E 36 Whitmarsh St
42,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_27.png'],ACCOUNTANTS-PUBLIC,Calabrese Joseph 24*& Farmington Av
43,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_28.png'],ACCOUNTANTS-PUBLIC,Campana Falco B 135 Whitford Av
44,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_29.png'],ACCOUNTANTS-PUBLIC,Ched Limited 245 Waterman St Rm 400
45,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_30.png'],ACCOUNTANTS-PUBLIC,Ciolf'x Alex & Co 207 Union Av
46,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_31.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_32.png']",ACCOUNTANTS-PUBLIC,Clegg Geo B Public Acct 111 Westminster St Rm 617
47,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_33.png'],ACCOUNTANTS-PUBLIC,Clements Roy F 35 Klondike St
48,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_34.png'],ACCOUNTANTS-PUBLIC,Cofman Morris & Associates 116 Wayland Av
49,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_35.png'],ACCOUNTANTS-PUBLIC,Corrente Frank E 111 Westminster St Rm 523
50,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_36.png'],ACCOUNTANTS-PUBLIC,D1Amico Robt A & Co 515 Smith St
51,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_37.png'],ACCOUNTANTS-PUBLIC,David Bennie A 168 Broadway
52,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_38.png'],ACCOUNTANTS-PUBLIC,Della Ventura Guy 36 Olneyville Sq Rm 5
53,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_40.png']",ACCOUNTANTS-PUBLIC,Di Chiara Michl W 1410 Mineral Spring Av(N Prov)
54,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_41.png'],ACCOUNTANTS-PUBLIC,Drummond Accounting Service 850 Admiral St
55,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_42.png'],ACCOUNTANTS-PUBLIC,Duffy A Edgell 170 Westminster St Rm 300
56,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_43.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_44.png']",ACCOUNTANTS-PUBLIC,Dufour Keenan Tripp 76 Westminster St Rm 315
57,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_45.png'],ACCOUNTANTS-PUBLIC,Dyc15 Joseph A 27 Algon uin St
58,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_3.png']",ACCOUNTANTS-PUBLIC-CONTD,"EDSON HUBERT 849 N Main St (02904), Tel 831-1470"
59,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_4.png'],ACCOUNTANTS-PUBLIC-CONTD,Ernst & Ernst One Hosp Trust Plaza 17th Fl
60,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_6.png']",ACCOUNTANTS-PUBLIC-CONTD,Ervanian Stanley S 111-Westminster St Rm 523
61,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_7.png'],ACCOUNTANTS-PUBLIC-CONTD,Federico Michl T & Co 57 Eddy St Rm 212
62,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_8.png'],ACCOUNTANTS-PUBLIC-CONTD,Feeney James E 154 Francis St 2d Fl
63,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_9.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_10.png']",ACCOUNTANTS-PUBLIC-CONTD,Ferrara R P & Co 1845 Smith St (N Prov) Rm
64,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_11.png'],ACCOUNTANTS-PUBLIC-CONTD,Gereboff & Co 111 Westminster St Rm 620
65,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_12.png'],ACCOUNTANTS-PUBLIC-CONTD,H & R Block 490 Elmwood Av
66,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_13.png'],ACCOUNTANTS-PUBLIC-CONTD,H & R Block Inc 1075 Chalkstone Av
67,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_14.png'],ACCOUNTANTS-PUBLIC-CONTD,Hagopian James 410 Hope St
68,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_15.png'],ACCOUNTANTS-PUBLIC-CONTD,izzo Vincent T 1038 Chalkstone Av
69,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_16.png'],ACCOUNTANTS-PUBLIC-CONTD,Jacobs Gerald 428 Smith St Rm 7
70,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_17.png'],ACCOUNTANTS-PUBLIC-CONTD,Jarcho Myer C 501 Angeli St
71,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_18.png'],ACCOUNTANTS-PUBLIC-CONTD,K-P Audit Co 111 Westminster St Rm 417
72,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_19.png'],ACCOUNTANTS-PUBLIC-CONTD,Kanter Herbert 501 Angell St
73,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_20.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_22.png']",ACCOUNTANTS-PUBLIC-CONTD,"Kaufman Miller & Company 300 Old Colony Bldg, 347 Main St (Pawtucket, R I; 02862), Tel 725-8300"
74,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_23.png'],ACCOUNTANTS-PUBLIC-CONTD,Kenyon John T 74 Vassar Av
75,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_24.png'],ACCOUNTANTS-PUBLIC-CONTD,Kilberg Pierce & Co 111 Wayland Av
76,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_25.png'],ACCOUNTANTS-PUBLIC-CONTD,Labush Bernard 501 Angell St
77,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_27.png']",ACCOUNTANTS-PUBLIC-CONTD,Latina Ralph A 1243 Mineral Spring Av(N Prov)
78,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_29.png']",ACCOUNTANTS-PUBLIC-CONTD,Laventhol & Horwath 40 Westminster St Rm 1120
79,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_30.png'],ACCOUNTANTS-PUBLIC-CONTD,M A S Associates 58 Weybosset St Rm 703
80,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_31.png'],ACCOUNTANTS-PUBLIC-CONTD,Mardo Anthony & Co 438 Broadway
81,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_32.png'],ACCOUNTANTS-PUBLIC-CONTD,Masso Thos J 1845 Smith St (N Prbv) Rm 2
82,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_33.png'],ACCOUNTANTS-PUBLIC-CONTD,Mastroianni Anthony J 15 Lewis St (N Prov)
83,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_34.png'],ACCOUNTANTS-PUBLIC-CONTD,Monacelli Ovid L 428 Smith St Rm 1
84,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_36.png']",ACCOUNTANTS-PUBLIC-CONTD,Murphy Raymond F & Co 111 Westminster St Rm 1700
85,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_37.png'],ACCOUNTANTS-PUBLIC-CONTD,Norberg John H 154 Francis St 2d F1
86,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_38.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_39.png']",ACCOUNTANTS-PUBLIC-CONTD,Orlando & Turcotte 15 Westminster St Rm 910
87,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_40.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_41.png']",ACCOUNTANTS-PUBLIC-CONTD,Over Petrone & Co 15 Westminster St Rm 1005
88,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_42.png'],ACCOUNTANTS-PUBLIC-CONTD,Pascarella Steph E 107 Bolton Av
89,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_43.png'],ACCOUNTANTS-PUBLIC-CONTD,Pascarella Steph E 2d 107 Bolton Av
90,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_45.png']",ACCOUNTANTS-PUBLIC-CONTD,Pascarella & Trench 15 Westminster St Rm 1140
91,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_46.png'],ACCOUNTANTS-PUBLIC-CONTD,Paterra J J & Co 414 Broadway
92,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_47.png'],ACCOUNTANTS-PUBLIC-CONTD,Pelich Robt 76 Westminster St Rm 1105
93,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_48.png'],ACCOUNTANTS-PUBLIC-CONTD,Phillips Milton 1 Jackson Walkway Suite 3
94,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_49.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_50.png']",ACCOUNTANTS-PUBLIC-CONTD,Piccerelli Gilstein & Co 144 Westminster St 3d F1
95,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_2.png'],ACCOUNTANTS-PUBLIC-CONTD,Pritsker & Block 111 Westminster St Rm 1235
96,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_4.png']",ACCOUNTANTS-PUBLIC-CONTD,Radcliffe And Co Rear 1410 Mineral Spring Av(N Prov)
97,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_6.png']",ACCOUNTANTS-PUBLIC-CONTD,Ricapito Michl P 1480 Mineral Spring Av(N Prov)
98,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_7.png'],ACCOUNTANTS-PUBLIC-CONTD,Rogers Ellis R 184 Verndale Av
99,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_9.png']",ACCOUNTANTS-PUBLIC-CONTD,Roiff Herbert A & C0 170 Westminster St Rm 700
100,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_10.png'],ACCOUNTANTS-PUBLIC-CONTD,Ross Joslin 44 Warren St
101,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_11.png'],ACCOUNTANTS-PUBLIC-CONTD,Rouslin Edw 86 Weybosset St .;m 406
102,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_12.png'],ACCOUNTANTS-PUBLIC-CONTD,S-S Accounting 344 Wickenden St
103,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_13.png'],ACCOUNTANTS-PUBLIC-CONTD,Sansiveri Jerry 111 Westminster St Rm 1030
104,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_14.png'],ACCOUNTANTS-PUBLIC-CONTD,Satloff Morris 501 Angeli St
105,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_15.png'],ACCOUNTANTS-PUBLIC-CONTD,Scadera Michl A 58 Weybosset St Rm 703
106,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_16.png'],ACCOUNTANTS-PUBLIC-CONTD,Scanlon Bernard A 147 Hilary Dr
107,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_17.png'],ACCOUNTANTS-PUBLIC-CONTD,Schwartz Harold 501 Angeli St
108,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_19.png']",ACCOUNTANTS-PUBLIC-CONTD,Seplocha John 1330 Mineral Spring Av(N Prov)
109,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_20.png'],ACCOUNTANTS-PUBLIC-CONTD,Short Edw 566 Smith St
110,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_22.png']",ACCOUNTANTS-PUBLIC-CONTD,Sibilia Edith M Mrs Rear 1410 Mineral Spring Av(N Prov)
111,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_24.png']",ACCOUNTANTS-PUBLIC-CONTD,Sisto Turose Maccarone & Proia 170 Westminster St Rm 702
112,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_25.png'],ACCOUNTANTS-PUBLIC-CONTD,Sullivan John F 147 Power St
113,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_26.png'],ACCOUNTANTS-PUBLIC-CONTD,Tabulex 36 Kennedy Plaza Rm 516
114,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_27.png'],ACCOUNTANTS-PUBLIC-CONTD,Yarlas Steph 501 Angell St
115,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_28.png'],ACCOUNTANTS-PUBLIC-CONTD,Young Arth & Co 111 Westminster St 824
116,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_29.png'],ACCOUNTANTS-PUBLIC-CONTD,Zelano Richd R 500 Broadway
117,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_32.png'],*ACOUSTICAL CONTRACTORS,G T SAFETY EQUIPMENT INC
118,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_34.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_35.png']",(ACCOUSTICAL PRODUCTS &,"ENGINEERING) 25 Eagle St (02908), Tei 272-8880"
119,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_37.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_38.png']",ADJUSTERS,Allied Adjustment Serv Inc 131 Washington St Rm 211
120,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_40.png']",ADJUSTERS,General Adjustment Bureau Inc 373 Elmwood Av Rm 107
121,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_41.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_42.png']",ADJUSTERS,Nappi Lou Adjustment Bureau 1991 Smith St (N Prov)
122,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_43.png'],ADJUSTERS,Pellegrino Vincent Adiusters 38 Pontiac Av
123,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_45.png']",ADJUSTERS,Pelletier & Rourke 111 Westminster St Rm 1806 .
124,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_46.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_47.png']",ADJUSTERS,Peterson Evert M L 111 Westminster St Rm 401
125,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_48.png'],ADJUSTERS,Underwriters Adjusting Co 630 Howard Bldg
126,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_50.png'],ADOPTION AGENCIES,Baker Advertising Associates 85 Arnold St
127,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_52.png'],ADVERTISING AGENCIES,A M B M E Advertising Agency 910 Smith St
128,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_53.png'],ADVERTISING AGENCIES,Adgroup Inc 293 S Main St Suite 212
129,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_54.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_55.png']",ADVERTISING AGENCIES,Albrektson Studios Inc 146 Westminster St Rm 403
130,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_56.png'],ADVERTISING AGENCIES,Alden Advertising Inc 212 Union St Rm 402
131,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_57.png'],ADVERTISING AGENCIES,All Media Associates 84 Ledge St
132,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_58.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_59.png']",ADVERTISING AGENCIES,Archetto Robt Associates Inc 170 Westminster St Rm 1110
133,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_60.png'],ADVERTISING AGENCIES,Arthur Ruth I 17 Exchange St Rm 421
134,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_61.png'],ADVERTISING AGENCIES,Benell Advertising Co 135 Dean St
135,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_62.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_63.png']",ADVERTISING AGENCIES,Bogh Advertising Photography 236 5 Westminster St Rm 504
136,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_64.png'],ADVERTISING AGENCIES,Bradley Wm J 46 Clym St
137,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_65.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_66.png']",ADVERTISING AGENCIES,Challenge Advertising Inc 146 Westminster St Rm 206
138,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_67.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_68.png']",ADVERTISING AGENCIES,Creamer-F S R Inc 40 Westminster St Rm 1600
139,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_69.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_70.png']",ADVERTISING AGENCIES,Dietz J H Advertising Inc 269 S Main St Suite 207
140,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_71.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_72.png']",ADVERTISING AGENCIES,Duffy & Shanley Inc 1 Jackson Walkway Suite 16
141,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_73.png'],ADVERTISING AGENCIES,Fern Hanaway Inc 270 Elmwood Av
142,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_74.png'],ADVERTISING AGENCIES,Finelli Raymond Associates 12 Thomas St
