,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1962/entry/1962_Page_1 (1)_2.png', 'cd1962/entry/1962_Page_1 (1)_3.png']",N/A,(See also Grinding WheelsManufac- turers)
1,FAILED TO PARSE AN ADDRESS,['cd1962/entry/1962_Page_1 (1)_21.png'],N/A,(*Denotes Certified Public Accountants)
2,"SCORE LESS THAN CUTOFF: Westminster R904 adler Louis 15 Westminster R904,68.5,PROVIDENCE",['cd1962/entry/1962_Page_1 (1)_25.png'],WESTMINSTER ST,"dler Benj E 15 Westminster R904
adler Louis 15 Westminster R904"
3,"SCORE LESS THAN CUTOFF: Weybosset R20 Bernstein-Pliner Co 15 Westminster R627,67.0,PROVIDENCE",['cd1962/entry/1962_Page_1 (1)_30.png'],WESTMINSTER ST,"Berkowitz Saml M 86 Weybosset R20
Bernstein-Pliner Co 15 Westminster R627"
4,"SCORE LESS THAN CUTOFF: Westminster R601 Bogdan John P Co 111 Westminster R527,67.0,PROVIDENCE",['cd1962/entry/1962_Page_1 (1)_36.png'],WESTMINSTER ST,"Blake Harvey 511 Westminster R601
Bogdan John P Co 111 Westminster R527"
5,"SCORE LESS THAN CUTOFF: Westminster R1401 *Brindamour Henri L 87 Weybosset R527,67.0,PROVIDENCE",['cd1962/entry/1962_Page_1 (1)_38.png'],WESTMINSTER ST,"Brayton Robt M 111 Westminster R1401
*Brindamour Henri L 87 Weybosset R527"
6,"SCORE LESS THAN CUTOFF: Westminster R6 13 Cofman Morris & Associates 111 Westminster R709,65.0,PROVIDENCE","['cd1962/entry/1962_Page_1 (2)_10.png', 'cd1962/entry/1962_Page_1 (2)_11.png']",WESTMINSTER ST,"Clegg Geo B 49 Westminster R6 13
Cofman Morris & Associates 111 West- minster R709"
7,"SCORE LESS THAN CUTOFF: Westminster R610 Commeite Arth J 111 Westminster R930 Cooperman Associates 87 Weybosset R418,60.5,PROVIDENCE",['cd1962/entry/1962_Page_1 (2)_14.png'],WESTMINSTER ST,"*Comery Richd T 15 Westminster R610
Commeite Arth J 111 Westminster R930
Cooperman Associates 87 Weybosset R418"
8,"SCORE LESS THAN CUTOFF: Landor Ford Earle F 111 Westminster R1215,71.0,PROVIDENCE",['cd1962/entry/1962_Page_1 (2)_27.png'],WESTMINSTER ST,"Fish Howard 31 Landor
Ford Earle F 111 Westminster R1215"
9,"SCORE LESS THAN CUTOFF: Westminster R1401 Goodman Max M 111 Westminster R628,67.5,PROVIDENCE",['cd1962/entry/1962_Page_1 (2)_30.png'],WESTMINSTER ST,"R925
Godfrey Albert E 111 Westminster R1401
Goodman Max M 111 Westminster R628"
10,"SCORE LESS THAN CUTOFF: Charles Lane Warren C 32 Westminster 6,72.5,PROVIDENCE",['cd1962/entry/1962_Page_1 (2)_40.png'],WESTMINSTER ST,"LaFauci Thos K 607 Charles
Lane Warren C 32 Westminster 6th fl"
11,FAILED TO PARSE AN ADDRESS,['cd1962/entry/1962_Page_1 (3)_1.png'],N/A,LaDiaAil Dari Po it van
12,"SCORE LESS THAN CUTOFF: 5 Main,73.5,PROVIDENCE",['cd1962/entry/1962_Page_1 (3)_16.png'],MAIDEN LN,Neves Joseph S 415 5 Main
