,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_102 (1)_7.png'],N/A,PUBLIC
1,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE",['cd1968/entry/1968_Page_102 (1)_17.png'],I 95,RM 1219
2,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_102 (1)_33.png'],N/A,306
3,"SCORE LESS THAN CUTOFF: -2910,50.5,PROVIDENCE",['cd1968/entry/1968_Page_102 (1)_36.png'],I 295,TEL 421-2910
4,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_102 (1)_38.png'],N/A,604
5,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_102 (1)_40.png'],N/A,ST
6,ERROR IN STREET MATCHING,['cd1968/entry/1968_Page_102 (1)_46.png'],"02903),","(02903), TEL 861-0740"
7,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1968/entry/1968_Page_102 (1)_48.png'],10TH ST,RM 400
8,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1968/entry/1968_Page_102 (1)_67.png'],10TH ST,PEAT MARWICK MITCHELL & CO 10
9,"SCORE LESS THAN CUTOFF: PICCHIONE NICHOLAS & CO 480 BENEFIT ST,49.0,PROVIDENCE","['cd1968/entry/1968_Page_102 (1)_68.png', 'cd1968/entry/1968_Page_102 (1)_69.png']",EAST JOSEPHINE ST,"DORRANCE ST RM 500
PICCHIONE NICHOLAS & CO 480 BENEFIT ST"
10,EMPTY STREET,['cd1968/entry/1968_Page_102 (2)_22.png'],,BOROO AUOIT CO Sl EMPIRE ST RM 605
11,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_102 (2)_32.png'],N/A,CORRENTE FRANK E SS LESLIE OR
12,EMPTY STREET,['cd1968/entry/1968_Page_102 (2)_45.png'],,OUNNE LEO T S57 EDDY ST RM S01
13,EMPTY STREET,"['cd1968/entry/1968_Page_102 (2)_49.png', 'cd1968/entry/1968_Page_102 (2)_50.png']",,FEDERICO MICHL T & CO S7 EDDY ST RM
14,EMPTY STREET,['cd1968/entry/1968_Page_102 (3)_31.png'],,REITMAN BENJ S8 WEYBOSSET ST RM 702
15,EMPTY STREET,['cd1968/entry/1968_Page_102 (3)_44.png'],,SPENCER MILTON K SI HARRISON ST
16,EMPTY STREET,['cd1968/entry/1968_Page_102 (3)_57.png'],,ZELANO RICHD R S00 BROADWAY ST
17,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_103 (1)_65.png'],N/A,
18,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_103 (2)_5.png'],N/A,
19,FAILED TO PARSE AN ADDRESS,['cd1968/entry/1968_Page_103 (2)_22.png'],N/A,WJ AR RADIO & TELEVISION STATION
20,ERROR IN STREET MATCHING,"['cd1968/entry/1968_Page_103 (2)_24.png', 'cd1968/entry/1968_Page_103 (2)_25.png', 'cd1968/entry/1968_Page_103 (2)_26.png']",02903),176 WEYBOSSET STREET (02903) TELEPHONE 861-9200
