,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1121 (1)_21.png'],N/A,"(See Schools, Colleges & Academies)"
1,FAILED TO PARSE AN ADDRESS,"['cd1940/entry/1940_Page_1121 (2)_11.png', 'cd1940/entry/1940_Page_1121 (2)_12.png']",N/A,*Denotes Certified Public Account- ants
2,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1940/entry/1940_Page_1121 (2)_29.png'],1ST ST,- 401
3,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1122 (1)_1.png'],N/A,Accountants & AuditorsCon
4,"SCORE LESS THAN CUTOFF: -261 Altens av,72.5,PROVIDENCE","['cd1940/entry/1940_Page_1123 (1)_8.png', 'cd1940/entry/1940_Page_1123 (1)_9.png', 'cd1940/entry/1940_Page_1123 (1)_10.png', 'cd1940/entry/1940_Page_1123 (1)_11.png', 'cd1940/entry/1940_Page_1123 (1)_12.png']",ALLENS AVE,"SESSIONS-GIFFORD CO Inc 255-261 Altens av tels Hopkins 0770-0771 Boston office 47 McGrath Highway, Somerville, Mass tel Prospect 3070 See page 26 Buyers Guide"
5,"SCORE LESS THAN CUTOFF: Turks Head bidg 76 Westminster,77.0,PROVIDENCE","['cd1940/entry/1940_Page_1123 (1)_61.png', 'cd1940/entry/1940_Page_1123 (1)_62.png', 'cd1940/entry/1940_Page_1123 (1)_63.png', 'cd1940/entry/1940_Page_1123 (1)_64.png']",WESTMINSTER ST,PROVIDENT MUTUAL LIFE INSUR- ANCE CO OF PHILADELPHIA 1212 Turks Head bidg 76 Westminster tel Gaspee 5756
6,"SCORE LESS THAN CUTOFF: -185 Bene fit,73.5,PROVIDENCE","['cd1940/entry/1940_Page_1123 (2)_57.png', 'cd1940/entry/1940_Page_1123 (2)_58.png']",BENEFIT ST,Colonial Apartments Ine 171-185 Bene fit
7,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1124 (1)_1.png'],N/A,Apartment BldgsCon
8,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1124 (3)_18.png'],N/A,(See also Well Drillers & Borers)
9,"SCORE LESS THAN CUTOFF: Anthony East Prov PO Box,72.5,PROVIDENCE","['cd1940/entry/1940_Page_1124 (3)_19.png', 'cd1940/entry/1940_Page_1124 (3)_20.png', 'cd1940/entry/1940_Page_1124 (3)_21.png']",ANTHONY AVE,"ARTESIAN WELL & SUPPLY CO 195 Anthony, East Prov and PO Box 1241, Prov tel East Prov 0198"
10,"SCORE LESS THAN CUTOFF: Prov,67.0,PROVIDENCE","['cd1940/entry/1940_Page_1124 (3)_19.png', 'cd1940/entry/1940_Page_1124 (3)_20.png', 'cd1940/entry/1940_Page_1124 (3)_21.png']",GROVE ST,"ARTESIAN WELL & SUPPLY CO 195 Anthony, East Prov and PO Box 1241, Prov tel East Prov 0198"
11,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE",['cd1940/entry/1940_Page_1125 (1)_7.png'],3RD ST,"Cowell Donald, Prov Biltmore rm 133"
12,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE","['cd1940/entry/1940_Page_1125 (2)_63.png', 'cd1940/entry/1940_Page_1125 (2)_64.png']",I 95,"Jewelers Protective Association, Provi- dence-Biltmore Hotel rm 209"
13,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1125 (2)_65.png'],N/A,"Kiwanis Club, Crown Hotel"
14,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1125 (2)_66.png'],N/A,"Lions Club, Biltmore Hotel"
15,FAILED TO PARSE AN ADDRESS,"['cd1940/entry/1940_Page_1125 (3)_7.png', 'cd1940/entry/1940_Page_1125 (3)_8.png']",N/A,"Narragansett Racing Assn, Providence- Biltmore Hotel"
16,"SCORE LESS THAN CUTOFF: Mantle Club 87 Weybosset,77.5,PROVIDENCE","['cd1940/entry/1940_Page_1125 (3)_34.png', 'cd1940/entry/1940_Page_1125 (3)_35.png']",WEYBOSSET ST,Providence District No 25 Mantle Club 87 Weybosset rm 220
17,"SCORE LESS THAN CUTOFF: Wash top fl,76,PROVIDENCE","['cd1940/entry/1940_Page_1125 (3)_48.png', 'cd1940/entry/1940_Page_1125 (3)_49.png']",WASHINGTON ST,Rhode Island Fish & Game Protective Association 63 Wash top fl
18,"SCORE LESS THAN CUTOFF: Wash 2d fi,78.5,PROVIDENCE","['cd1940/entry/1940_Page_1125 (3)_68.png', 'cd1940/entry/1940_Page_1125 (3)_69.png']",WASHINGTON ST,Town Criers of Rhode Island Inc 44 Wash 2d fi
19,FAILED TO PARSE AN ADDRESS,['cd1940/entry/1940_Page_1126 (1)_1.png'],N/A,"Associations & Clubs, CommercialCon"
20,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE","['cd1940/entry/1940_Page_1126 (1)_45.png', 'cd1940/entry/1940_Page_1126 (1)_46.png', 'cd1940/entry/1940_Page_1126 (1)_47.png', 'cd1940/entry/1940_Page_1126 (1)_48.png']",10TH ST,"pee 7210See page 95 Buyers Guide
LADD MORRIS M 32 Garnet cor Pine tel Gaspee 1806 and 909 Westminster tel Gaspee 8671See page 3 Buyers Guide"
21,FAILED TO PARSE AN ADDRESS,"['cd1940/entry/1940_Page_1126 (1)_57.png', 'cd1940/entry/1940_Page_1126 (1)_58.png']",N/A,"(See also Accountants and Auditors)
OVER, ORMISTON & COMPANY 836 Hospital Trust bldg 15 Westminster
tel GA 5232"
22,"SCORE LESS THAN CUTOFF: Bway Smith Alex E 111 Westminster,73.5,PROVIDENCE",['cd1940/entry/1940_Page_1126 (2)_68.png'],WESTMINSTER ST,"Simplex Automotive Parts Co 318 Bway
Smith Alex E 111 Westminster rm 434"
