,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1990/entry/1990_Page_86 (1)_2.png', 'cd1990/entry/1990_Page_86 (1)_3.png']",N/A,American Airlines Inc-U S Air Westminster Sq Bldg
1,"SCORE LESS THAN CUTOFF: Beverage Hill Rd,63.5,PROVIDENCE","['cd1990/entry/1990_Page_86 (2)_16.png', 'cd1990/entry/1990_Page_86 (2)_17.png', 'cd1990/entry/1990_Page_86 (2)_18.png']",BEVERLY ST,"A-1 ANSWERING SERVICE 368 Beverage Hill Rd (02861), Tel 724- 3322"
2,"SCORE LESS THAN CUTOFF: Zambarano Ave,67.0,PROVIDENCE","['cd1990/entry/1990_Page_86 (3)_19.png', 'cd1990/entry/1990_Page_86 (3)_20.png']",MAURAN ST,Azalea Court Condominiums 1 Zambarano Av (NP)
3,"SCORE LESS THAN CUTOFF: Garibaldi St,74.5,PROVIDENCE","['cd1990/entry/1990_Page_86 (3)_36.png', 'cd1990/entry/1990_Page_86 (3)_37.png']",GARFIELD ST,Brickhouse Condominiums 5 Garibaldi St (NP)
4,FAILED TO PARSE AN ADDRESS,['cd1990/entry/1990_Page_87 (1)_2.png'],N/A,
5,FAILED TO PARSE AN ADDRESS,['cd1990/entry/1990_Page_87 (1)_29.png'],N/A,Erics Place Condominiums Erics Pl (NP)
6,"SCORE LESS THAN CUTOFF: Fenway Ave,71.0,PROVIDENCE",['cd1990/entry/1990_Page_87 (1)_37.png'],GREENWAY ST,Fenway Apartments 10 Fenway Av (NP)
7,FAILED TO PARSE AN ADDRESS,"['cd1990/entry/1990_Page_87 (2)_19.png', 'cd1990/entry/1990_Page_87 (2)_20.png']",N/A,Louisquisset Country Club Condominiums Nipmuc Trl (NP)
8,FAILED TO PARSE AN ADDRESS,"['cd1990/entry/1990_Page_87 (3)_1.png', 'cd1990/entry/1990_Page_87 (3)_2.png']",N/A,FOE FRAN BivRasAV ew Seaver awe
9,FAILED TO PARSE AN ADDRESS,['cd1990/entry/1990_Page_87 (3)_7.png'],N/A,Regency East Apartments le Jackson Walkway
10,"SCORE LESS THAN CUTOFF: Bicentennial Way,57.5,PROVIDENCE","['cd1990/entry/1990_Page_87 (3)_34.png', 'cd1990/entry/1990_Page_87 (3)_35.png']",CENTRAL AVE,Stoney Brook Apartments 1776 Bicentennial Way (NP)
11,"SCORE LESS THAN CUTOFF: -14 Ternay Gardens,72.0,PROVIDENCE","['cd1990/entry/1990_Page_88 (1)_5.png', 'cd1990/entry/1990_Page_88 (1)_6.png']",GARDEN ST,"(NP)
Yorktown Village Apartments 1-14 Ternay Gardens"
12,"SCORE LESS THAN CUTOFF: 2,50,PROVIDENCE","['cd1990/entry/1990_Page_88 (1)_62.png', 'cd1990/entry/1990_Page_88 (1)_63.png']",2ND ST,Holmes John M le Jackson Walkway Apt 1012
13,"SCORE LESS THAN CUTOFF: Broadway Paxson Edw 151 Broadway,78.5,PROVIDENCE","['cd1990/entry/1990_Page_88 (1)_75.png', 'cd1990/entry/1990_Page_88 (1)_76.png']",GRAND BROADWAY,Olivelli Associates 354 Broadway Paxson Edw 151 Broadway Rm 20
14,"SCORE LESS THAN CUTOFF: Merritt Ave,69.0,PROVIDENCE",['cd1990/entry/1990_Page_88 (3)_17.png'],MORRIS AVE,Bjurman John 5 Merritt Av (NP)
