,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1125 (2)_5.png'],N/A,*Denotes Certified Public Accountants
1,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1126 (1)_1.png'],N/A,Accountants & AuditorsCon
2,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1126 (1)_68.png'],N/A,
3,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE",['cd1941/entry/1941_Page_1126 (2)_52.png'],3RD ST,"Bernstein Jos M, Prov Biltmore rm 133"
4,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1126 (2)_67.png'],N/A,
5,"SCORE LESS THAN CUTOFF: Wash~ ington, Anthony RI,74.0,PROVIDENCE","['cd1941/entry/1941_Page_1127 (1)_17.png', 'cd1941/entry/1941_Page_1127 (1)_18.png', 'cd1941/entry/1941_Page_1127 (1)_19.png']",ANTHONY AVE,"GORTON FRANK R & SONS 721 Wash- ~ ington, Anthony RI tel Valley 803-W See page 45 Buyers Guide"
6,"SCORE LESS THAN CUTOFF: Wash Cinderella Ball Room 36 Olneyville sq,47.5,PROVIDENCE",['cd1941/entry/1941_Page_1127 (1)_31.png'],MAINELLA ST,"Arcadia Inc 109 Wash
Cinderella Ball Room 36 Olneyville sq"
7,"SCORE LESS THAN CUTOFF: Pine Pawtucket PO Box,65.0,PROVIDENCE","['cd1941/entry/1941_Page_1127 (1)_36.png', 'cd1941/entry/1941_Page_1127 (1)_37.png']",PAWTUXET AV,"* Annealing
NATIONAL RING TRAVELER CO 354
Pine, Pawtucket and PO Box 1565,
Providence tel GAspee 4528See page 70 Buyers Guide"
8,"SCORE LESS THAN CUTOFF: LINCOLN NATIONAL LIFE INSURANCE CO The 1104 Industrial Trust pbidg 111 Westminster,62.0,PROVIDENCE","['cd1941/entry/1941_Page_1127 (1)_39.png', 'cd1941/entry/1941_Page_1127 (1)_40.png']",WESTMINSTER ST,"pee 1274

LINCOLN NATIONAL LIFE INSUR-
ANCE CO The 1104 Industrial Trust
pbidg 111 Westminster tel GAspee
4984-See page 54 Buyers Guide

PHOENIX MUTUAL LIFE INSUR-
ANCE CO 707 Turks Head bldg 76
Westminster tel GAspee 9715-See page 56 Buyers Guide"
9,"SCORE LESS THAN CUTOFF: S Angell Evergreen Apartments,50.5,PROVIDENCE","['cd1941/entry/1941_Page_1127 (2)_60.png', 'cd1941/entry/1941_Page_1127 (2)_61.png']",BONAPARTE ST,"Everglade The 120 S Angell
Evergreen Apartments 229 Camp and 116 Evergreen"
10,"SCORE LESS THAN CUTOFF: Benefit Fraser Apartments 110 Benefit Fraser Apartments 119 Benefit Fraser Apartments 138 Benefit Freidas Apartments 427 Pine,41.0,PROVIDENCE","['cd1941/entry/1941_Page_1127 (2)_64.png', 'cd1941/entry/1941_Page_1127 (2)_65.png']",PARENTE ST,"Fraser Apartments 34 Benefit Fraser Apartments 110 Benefit
Fraser Apartments 119 Benefit
Fraser Apartments 138 Benefit
Freidas Apartments 427 Pine"
11,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE",['cd1941/entry/1941_Page_1128 (3)_30.png'],3RD ST,"Cowell Donald, Prov Biltmore rm 133"
12,"SCORE LESS THAN CUTOFF: -211,57,PROVIDENCE","['cd1941/entry/1941_Page_1129 (2)_24.png', 'cd1941/entry/1941_Page_1129 (2)_25.png']",11TH ST,"Jewelers Protective Assn, Prov Bilt- more rms 209-211"
13,FAILED TO PARSE AN ADDRESS,"['cd1941/entry/1941_Page_1129 (2)_32.png', 'cd1941/entry/1941_Page_1129 (2)_33.png']",N/A,"Narragansett Racing Assn, Prov Bilt- more"
14,"SCORE LESS THAN CUTOFF: 211,57.0,PROVIDENCE","['cd1941/entry/1941_Page_1129 (2)_34.png', 'cd1941/entry/1941_Page_1129 (2)_35.png', 'cd1941/entry/1941_Page_1129 (2)_36.png']",11TH ST,"NE Manufacturing Jewelers and Silver- smiths Assns, Prov Biltmore rms 209- 211"
15,"SCORE LESS THAN CUTOFF: Mantle Club 87 Weybosset,77.5,PROVIDENCE","['cd1941/entry/1941_Page_1129 (2)_53.png', 'cd1941/entry/1941_Page_1129 (2)_54.png']",WEYBOSSET ST,Providence Dist No 25 Mantle Club 87 Weybosset rm 220
16,"SCORE LESS THAN CUTOFF: Turks Head bidg 76 Westminster,77.0,PROVIDENCE","['cd1941/entry/1941_Page_1129 (3)_44.png', 'cd1941/entry/1941_Page_1129 (3)_45.png']",WESTMINSTER ST,Sawyer Ada L 403 Turks Head bidg 76 Westminster tel GAspee 5927
17,"SCORE LESS THAN CUTOFF: -490 Main Pawtucket,68.0,PROVIDENCE","['cd1941/entry/1941_Page_1130 (2)_42.png', 'cd1941/entry/1941_Page_1130 (2)_43.png', 'cd1941/entry/1941_Page_1130 (2)_44.png', 'cd1941/entry/1941_Page_1130 (2)_45.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS, Frank Crook Inc 450-490 Main Pawtucket tels PErry 4900 and PLantations 4900See page 4 Buyers Guide"
18,"SCORE LESS THAN CUTOFF: Broadway Pawtucket,68,PROVIDENCE","['cd1941/entry/1941_Page_1130 (2)_56.png', 'cd1941/entry/1941_Page_1130 (2)_57.png', 'cd1941/entry/1941_Page_1130 (2)_58.png', 'cd1941/entry/1941_Page_1130 (2)_59.png']",PAWTUXET AV,PACKARD MOTOR CARS (Suttell Mo- tors Inc) 110 Broadway Pawtucket tel PErry 9200See page 4 Buyers Guide
19,"SCORE LESS THAN CUTOFF: Broadway Pawtucket,68,PROVIDENCE","['cd1941/entry/1941_Page_1130 (2)_64.png', 'cd1941/entry/1941_Page_1130 (2)_65.png', 'cd1941/entry/1941_Page_1130 (2)_66.png', 'cd1941/entry/1941_Page_1130 (2)_67.png']",PAWTUXET AV,STUDEBAKER MOTOR CARS (Suttell Motors Inc) 110 Broadway Paw- tucket tel PErry 9200See page 4 Buyers Guide
20,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1130 (3)_1.png'],N/A,Automobile Body Mirs
21,"SCORE LESS THAN CUTOFF: -490 Main Pawtucket,68.0,PROVIDENCE","['cd1941/entry/1941_Page_1130 (3)_45.png', 'cd1941/entry/1941_Page_1130 (3)_46.png', 'cd1941/entry/1941_Page_1130 (3)_47.png', 'cd1941/entry/1941_Page_1130 (3)_48.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS, Frank Crook Inc 450-490 Main Pawtucket tels PErry 4900 and PLantations. 4900See page 4 Buyers Guide"
22,"SCORE LESS THAN CUTOFF: Main, Pawtucket,73.0,PROVIDENCE","['cd1941/entry/1941_Page_1130 (3)_52.png', 'cd1941/entry/1941_Page_1130 (3)_53.png', 'cd1941/entry/1941_Page_1130 (3)_54.png']",PAWTUXET AV,"CROOK FRANK Ine (Chevrolet) 450- 490 Main, Pawtucket tels PErry 4900 and PLantations 4900-~-See page 4"
23,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1130 (3)_55.png'],N/A,Buyers Guide
24,"SCORE LESS THAN CUTOFF: Fountain service parts used cars,75.5,PROVIDENCE","['cd1941/entry/1941_Page_1131 (1)_1.png', 'cd1941/entry/1941_Page_1131 (1)_2.png', 'cd1941/entry/1941_Page_1131 (1)_3.png', 'cd1941/entry/1941_Page_1131 (1)_4.png', 'cd1941/entry/1941_Page_1131 (1)_5.png', 'cd1941/entry/1941_Page_1131 (1)_6.png']",FOUNTAIN SPRING LN,"HOWARD & LEWIS MOTOR SALES Inc (Providence Ford, Mercury and Lincoln Dealer) sales 186 Fountain service, parts and used cars 207-219 Promenade and 532 Broad tel GAs- pee 2100"
25,"SCORE LESS THAN CUTOFF: -483 Main Pawtucket,68.0,PROVIDENCE","['cd1941/entry/1941_Page_1131 (1)_40.png', 'cd1941/entry/1941_Page_1131 (1)_41.png', 'cd1941/entry/1941_Page_1131 (1)_42.png']",PAWTUXET AV,WINTERS WALTER Ine 481-483 Main Pawtucket tel PErry 2017 (Dodge- Plymouth cars and trucks)
26,EMPTY STREET,['cd1941/entry/1941_Page_1131 (2)_65.png'],,Eddy & Ship St Garage Ine 305 Eddy
27,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1132 (1)_1.png'],N/A,Automobile InsuranceCon
28,"SCORE LESS THAN CUTOFF: Union Trust bldg,74.0,PROVIDENCE","['cd1941/entry/1941_Page_1132 (1)_38.png', 'cd1941/entry/1941_Page_1132 (1)_39.png']",UNION ST,PUBLIC LOAN CORP 408 Union Trust bldg tel GAspee 2994
29,"SCORE LESS THAN CUTOFF: M CO Inc 93 Bucklin,77.0,PROVIDENCE","['cd1941/entry/1941_Page_1132 (1)_52.png', 'cd1941/entry/1941_Page_1132 (1)_53.png']",BUCKLIN ST,HOWE 8 M CO Inc 93 Bucklin tel DEx- ter 8446See page 5 Buyers Guide
30,FAILED TO PARSE AN ADDRESS,"['cd1941/entry/1941_Page_1132 (1)_64.png', 'cd1941/entry/1941_Page_1132 (1)_65.png']",N/A,"Court House Parking Station, S Main nr Crawford"
31,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1132 (1)_69.png'],N/A,"Empire Parking Co, Empire cor Wash"
32,"SCORE LESS THAN CUTOFF: Ormsbee av,73,PROVIDENCE",['cd1941/entry/1941_Page_1132 (2)_54.png'],ORMS ST,Andrews Auto Service 19 Ormsbee av
33,"SCORE LESS THAN CUTOFF: Bway Auto Service Station rear 42 Cranston,66.0,PROVIDENCE",['cd1941/entry/1941_Page_1132 (2)_59.png'],CRANSTON ST,"Auto Electric Service Co 145 Bway
Auto Service Station rear 42 Cranston"
34,"SCORE LESS THAN CUTOFF: Jonathan,71.0,PROVIDENCE",['cd1941/entry/1941_Page_1132 (2)_67.png'],NAHANT ST,"Guide and right bottom lines
Butler Clarence A 50 Jonathan"
35,EMPTY STREET,['cd1941/entry/1941_Page_1132 (2)_72.png'],,Comella Mariano &9 Huntington av
36,EMPTY STREET,['cd1941/entry/1941_Page_1132 (3)_47.png'],,New Olney St Garage 1 Pratt
37,"SCORE LESS THAN CUTOFF: Third,67,PROVIDENCE","['cd1941/entry/1941_Page_1133 (1)_44.png', 'cd1941/entry/1941_Page_1133 (1)_45.png', 'cd1941/entry/1941_Page_1133 (1)_46.png']",TIDD ST,WILLIAMS & ANDERSON CO Inc The 14 Third tels GAspee 3621-3622 See page 61 Buyers Guide
38,"SCORE LESS THAN CUTOFF: Shawmut,73,PROVIDENCE",['cd1941/entry/1941_Page_1133 (1)_54.png'],SHAW ST,Atlantic Burlap Bag Co 10 Shawmut
39,"SCORE LESS THAN CUTOFF: Black,67,PROVIDENCE",['cd1941/entry/1941_Page_1133 (1)_55.png'],BLACKSTONE ST,Blazer Bag Co 58 Black
40,"SCORE LESS THAN CUTOFF: Shawmut,73,PROVIDENCE",['cd1941/entry/1941_Page_1133 (1)_56.png'],SHAW ST,Dwares Saml 11 Shawmut
41,"SCORE LESS THAN CUTOFF: Bark Northern Bag & Burlap Co 197 N Main,57.5,PROVIDENCE",['cd1941/entry/1941_Page_1133 (1)_57.png'],NORTH MAIN ST,"Gitman Bag Co 7 Bark
Northern Bag & Burlap Co 197 N Main"
42,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1133 (1)_61.png'],N/A,Daotar Walter & foot of S Angell
43,"SCORE LESS THAN CUTOFF: have our salesman call,57.0,PROVIDENCE","['cd1941/entry/1941_Page_1133 (2)_11.png', 'cd1941/entry/1941_Page_1133 (2)_12.png', 'cd1941/entry/1941_Page_1133 (2)_13.png', 'cd1941/entry/1941_Page_1133 (2)_14.png', 'cd1941/entry/1941_Page_1133 (2)_15.png']",SALEM DR,"ARNOLDS LONSDALE BAKERY CO Are you enjoying our service? If not, call PErry 1345 or GAspee 5114 and have our salesman call at your home every day."
44,"SCORE LESS THAN CUTOFF: Mussolini,63,PROVIDENCE",['cd1941/entry/1941_Page_1133 (2)_37.png'],MESSINA ST,Corrente Lorenzo 58 Mussolini
45,"SCORE LESS THAN CUTOFF: Miantonomi,75.0,PROVIDENCE",['cd1941/entry/1941_Page_1133 (2)_60.png'],MANTON AVE,Golato Nicholas 4 Miantonomi
46,"SCORE LESS THAN CUTOFF: -394 Westminster, to place an order call PLantations 1234, other business,63.5,PROVIDENCE","['cd1941/entry/1941_Page_1133 (3)_49.png', 'cd1941/entry/1941_Page_1133 (3)_50.png', 'cd1941/entry/1941_Page_1133 (3)_51.png', 'cd1941/entry/1941_Page_1133 (3)_52.png', 'cd1941/entry/1941_Page_1133 (3)_53.png']",WESTMINSTER ST,"PROVIDENCE PUBLIC MARKET CO 380-394 Westminster, to place an order call PLantations 1234, other business tel PLantations 4414See insert opp page 33"
47,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1134 (1)_1.png'],N/A,"Bakers, RetailCon"
48,"SCORE LESS THAN CUTOFF: Hope South Providence Bakery Inc 207 Willard av,71.0,PROVIDENCE","['cd1941/entry/1941_Page_1134 (1)_6.png', 'cd1941/entry/1941_Page_1134 (1)_7.png']",PROVIDENCE PL,"Soltak Louis A 100 Hope
South Providence Bakery Inc 207 Wil- lard av"
49,FAILED TO PARSE AN ADDRESS,"['cd1941/entry/1941_Page_1134 (1)_43.png', 'cd1941/entry/1941_Page_1134 (1)_44.png', 'cd1941/entry/1941_Page_1134 (1)_45.png']",N/A,RUMFORD CHEMICAL WORKS Rum- ford tel Hast Providence 2880See page 24 Buyers Guide
50,"SCORE LESS THAN CUTOFF: Sabin, Pawtucket,71.5,PROVIDENCE","['cd1941/entry/1941_Page_1134 (1)_60.png', 'cd1941/entry/1941_Page_1134 (1)_61.png', 'cd1941/entry/1941_Page_1134 (1)_62.png']",PAWTUXET AV,"HALL J C CO The 21 Sabin, Pawtucket tels DExter 1124 and PErry 9512 See page 82 Buyers Guide"
51,"SCORE LESS THAN CUTOFF: Sabin, Pawtucket,71.5,PROVIDENCE","['cd1941/entry/1941_Page_1134 (1)_64.png', 'cd1941/entry/1941_Page_1134 (1)_65.png']",PAWTUXET AV,"HALL J C CO The 21 Sabin, Pawtucket tels DExter 1124 and PErry 9512"
52,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1134 (1)_66.png'],N/A,See page 82 Buyers Guide
53,FAILED TO PARSE AN ADDRESS,"['cd1941/entry/1941_Page_1134 (2)_18.png', 'cd1941/entry/1941_Page_1134 (2)_19.png', 'cd1941/entry/1941_Page_1134 (2)_20.png', 'cd1941/entry/1941_Page_1134 (2)_21.png']",N/A,CITIZENS SAVINGS BANK. Westmin- ster junction Cranston tel GAspee 1717-See page 14 Buyers Guide and left top lines
54,"SCORE LESS THAN CUTOFF: 5 Main,73.5,PROVIDENCE","['cd1941/entry/1941_Page_1134 (2)_63.png', 'cd1941/entry/1941_Page_1134 (2)_64.png', 'cd1941/entry/1941_Page_1134 (2)_65.png', 'cd1941/entry/1941_Page_1134 (2)_66.png', 'cd1941/entry/1941_Page_1134 (2)_67.png', 'cd1941/entry/1941_Page_1134 (2)_68.png', 'cd1941/entry/1941_Page_1134 (2)_69.png', 'cd1941/entry/1941_Page_1134 (2)_70.png']",MAIDEN LN,"PROVIDENCE INSTITUTION FOR SAVINGS 86 5 Main tel GAspee 4058 branches Empire-Aborn streets, 87- 93 Empire, 22-30 Aborn tel GAspee 3810, Olneyville Branch 1917-1921 Westminster tel WEst 0334See page 11 Buyers Guide and left top lines"
55,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1134 (3)_64.png'],N/A,"Bigney Clarence M, Union Station"
56,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1136 (1)_1.png'],N/A,BarbersCon
57,FAILED TO PARSE AN ADDRESS,"['cd1941/entry/1941_Page_1136 (2)_3.png', 'cd1941/entry/1941_Page_1136 (2)_4.png']",N/A,"Providence-Biltmore Hotel Barber Shop, Prov-Biltmore"
58,"SCORE LESS THAN CUTOFF: Quaid,71,PROVIDENCE","['cd1941/entry/1941_Page_1137 (1)_3.png', 'cd1941/entry/1941_Page_1137 (1)_4.png']",QUAIL RIDGE RD,Quaid Street Bath House 47 Quaid (pub- lic)
59,"SCORE LESS THAN CUTOFF: Paca pl,65.0,PROVIDENCE",['cd1941/entry/1941_Page_1137 (3)_21.png'],PACKARD ST,Dutchies Beauty Shop 104 Paca pl
60,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1138 (1)_1.png'],N/A,Beauty ShopsCon
61,"SCORE LESS THAN CUTOFF: Wash rm: 207,76.5,PROVIDENCE","['cd1941/entry/1941_Page_1138 (1)_35.png', 'cd1941/entry/1941_Page_1138 (1)_36.png']",WASHINGTON ST,Justines Beauty Shoppe 109 Wash rm: 207
62,FAILED TO PARSE AN ADDRESS,['cd1941/entry/1941_Page_1139 (1)_18.png'],N/A,(See Locksmiths)
