,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_93 (1)_2.png'],N/A,"x

(See also Grinding Wheels"
1,"SCORE LESS THAN CUTOFF: Broadway ecounting Associates 87 Weybosset R228 dler Benj E 15 Westminster R1004,61.5,PROVIDENCE","['cd1960/entry/1960_Page_93 (1)_24.png', 'cd1960/entry/1960_Page_93 (1)_25.png', 'cd1960/entry/1960_Page_93 (1)_26.png']",WESTMINSTER ST,ecinno & Campanella 354 Broadway ecounting Associates 87 Weybosset R228 dler Benj E 15 Westminster R1004
2,"SCORE LESS THAN CUTOFF: Westminster R816 hn Newton B 97 Fountain,71.5,PROVIDENCE","['cd1960/entry/1960_Page_93 (1)_58.png', 'cd1960/entry/1960_Page_93 (1)_59.png', 'cd1960/entry/1960_Page_93 (1)_60.png']",WESTMINSTER ST,fman Morris & Associates 111 West- minster R816 hn Newton B 97 Fountain
3,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_93 (3)_1.png'],N/A,ACCOUNTANTSPUBLICContd
4,"SCORE LESS THAN CUTOFF: Benerit R14,76.5,PROVIDENCE",['cd1960/entry/1960_Page_93 (3)_2.png'],BENEFIT ST,Newman Ernest M 188 Benerit R14
5,"SCORE LESS THAN CUTOFF: Howard, Detroit 31, Michigan ~,73.5,PROVIDENCE","['cd1960/entry/1960_Page_94 (1)_36.png', 'cd1960/entry/1960_Page_94 (1)_37.png']",MICHIGAN AVE,"POLK R L & CO, Polk Building 431 How- ard, Detroit 31, Michigan ~"
6,"SCORE LESS THAN CUTOFF: Sora,75.0,PROVIDENCE",['cd1960/entry/1960_Page_94 (1)_62.png'],DORA ST,Follis Francis R 127 Sora
7,"SCORE LESS THAN CUTOFF: Weyhosset R53A,79.5,PROVIDENCE",['cd1960/entry/1960_Page_94 (1)_67.png'],WEYBOSSET ST,Holland Barta & Co 86 Weyhosset R53A
8,"SCORE LESS THAN CUTOFF: -72 Gansett av, Cranston,,76.5,PROVIDENCE","['cd1960/entry/1960_Page_94 (3)_9.png', 'cd1960/entry/1960_Page_94 (3)_10.png', 'cd1960/entry/1960_Page_94 (3)_11.png', 'cd1960/entry/1960_Page_94 (3)_12.png']",CRANSTON ST,"EMMA ANTHONY HEATING CO INC (Plumbing, Heating, Gas & Otl Burners
Sales & Service), 68-72 Gansett av, Cranston, Tel Williams 2-8510 (See Yellow Page 38)"
9,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_94 (3)_14.png'],N/A,American Airlines Inc Sheraton- Biltmore
10,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_94 (3)_16.png'],N/A,National Airlines Inc Sheraton- Biltmore
11,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_94 (3)_17.png'],N/A,United Air Lines Sheraton-Biltmore
12,FAILED TO PARSE AN ADDRESS,['cd1960/entry/1960_Page_95 (1)_18.png'],N/A,Mt Pleasant Stadium Rialto
13,"SCORE LESS THAN CUTOFF: Manton, Pawtucket,70.0,PROVIDENCE","['cd1960/entry/1960_Page_95 (1)_19.png', 'cd1960/entry/1960_Page_95 (1)_20.png', 'cd1960/entry/1960_Page_95 (1)_21.png']",PAWTUXET AV,"NARRAGANSETT PARK-HORSE RACING, 49 Manton, Pawtucket"
14,"SCORE LESS THAN CUTOFF: Howard Bldg.,76.0,PROVIDENCE","['cd1960/entry/1960_Page_95 (1)_27.png', 'cd1960/entry/1960_Page_95 (1)_28.png', 'cd1960/entry/1960_Page_95 (1)_29.png']",NORTH HOWARD AVE,MASSACHUSETTS MUTUAL LIFE INSUR- ANCE CO. 900 Howard Bldg. Tel GAs- pee 1-7020 (See Yellow Page 42)
