,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1950/entry/1950_Page_709 (1)_34.png'],N/A,*Denotes Certified Public Accountants
1,FAILED TO PARSE AN ADDRESS,['cd1950/entry/1950_Page_710 (1)_2.png'],N/A,"SUPPLY CO., Inc."
2,"SCORE LESS THAN CUTOFF: -6090 Room 704, Alice Bldg., Opp. Boston Store,55.5,PROVIDENCE","['cd1950/entry/1950_Page_710 (1)_5.png', 'cd1950/entry/1950_Page_710 (1)_6.png']",OLD STONE SQ,"236 WESTMINSTER ST. - DE 1-6090 Room 704, Alice Bldg., Opp. Boston Store"
3,FAILED TO PARSE AN ADDRESS,['cd1950/entry/1950_Page_710 (1)_7.png'],N/A,AccountantsPublicCon
4,"SCORE LESS THAN CUTOFF: Hanover Boston 13, Mass,74.0,PROVIDENCE","['cd1950/entry/1950_Page_710 (3)_38.png', 'cd1950/entry/1950_Page_710 (3)_39.png', 'cd1950/entry/1950_Page_710 (3)_40.png']",HANOVER ST,"MANNING H A CO 104 Hanover Bos- ton 13, Mass tel CApitol 7-0657See page 155 Buyers Guide"
5,"SCORE LESS THAN CUTOFF: Lincoln Boston, Mass,77.0,PROVIDENCE","['cd1950/entry/1950_Page_710 (3)_41.png', 'cd1950/entry/1950_Page_710 (3)_42.png', 'cd1950/entry/1950_Page_710 (3)_43.png']",LINCOLN AVE,"POLK RL & CO District Office 179 Lincoln Boston, Mass tel HAncock 6-6309"
6,"SCORE LESS THAN CUTOFF: Trayne bidg 268 Westminster,79.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (1)_28.png', 'cd1950/entry/1950_Page_711 (1)_29.png']",WESTMINSTER ST,MILLER DWIGHT 18 Trayne bidg 268 Westminster tel UNion 1-2071
7,"SCORE LESS THAN CUTOFF: Main Pawtucket,73,PROVIDENCE","['cd1950/entry/1950_Page_711 (2)_4.png', 'cd1950/entry/1950_Page_711 (2)_5.png', 'cd1950/entry/1950_Page_711 (2)_6.png']",PAWTUXET AV,DUPUIS FRANK COMPANY 599 Main Pawtucket tel PAwtucket 2-0080 See page 127 Buyers Guide
8,FAILED TO PARSE AN ADDRESS,"['cd1950/entry/1950_Page_711 (2)_28.png', 'cd1950/entry/1950_Page_711 (2)_29.png']",N/A,"Eastern Air Lines, Sheraton-Biltmore Hotel"
9,"SCORE LESS THAN CUTOFF: Sheraton-Biltmore Hotel,60.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (2)_30.png', 'cd1950/entry/1950_Page_711 (2)_31.png', 'cd1950/entry/1950_Page_711 (2)_32.png']",SHERMAN AVE,United Air Airlines 111 Westminster rm 1220 and Sheraton-Biltmore Ho- tel
10,"SCORE LESS THAN CUTOFF: _ 50 YEARS _ 1950,58.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (3)_1.png', 'cd1950/entry/1950_Page_711 (3)_2.png']",SEARS AVE,Rowley Construction Co. 1900 _ 50 YEARS _ 1950
11,FAILED TO PARSE AN ADDRESS,['cd1950/entry/1950_Page_711 (3)_4.png'],N/A,"260 Central Ave., Pawtucket, R. I."
12,"SCORE LESS THAN CUTOFF: Sheraton-Biltmore Hotel,60.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (3)_6.png', 'cd1950/entry/1950_Page_711 (3)_7.png', 'cd1950/entry/1950_Page_711 (3)_8.png']",SHERMAN AVE,NARRAGANSETT RACING ASSN Inc 181 Sheraton-Biltmore Hotel and 49 Manton Pawtucket
13,"SCORE LESS THAN CUTOFF: Manton Pawtucket,70.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (3)_6.png', 'cd1950/entry/1950_Page_711 (3)_7.png', 'cd1950/entry/1950_Page_711 (3)_8.png']",PAWTUXET AV,NARRAGANSETT RACING ASSN Inc 181 Sheraton-Biltmore Hotel and 49 Manton Pawtucket
14,"SCORE LESS THAN CUTOFF: High Service av, North Providence,74.0,PROVIDENCE","['cd1950/entry/1950_Page_711 (3)_11.png', 'cd1950/entry/1950_Page_711 (3)_12.png', 'cd1950/entry/1950_Page_711 (3)_13.png']",PROVIDENCE ST,"FERGUSON HOWARD F (small ani- mals) 215 High Service av, North Providence (4) tel TEmple 1-5312"
15,FAILED TO PARSE AN ADDRESS,"['cd1950/entry/1950_Page_711 (3)_20.png', 'cd1950/entry/1950_Page_711 (3)_21.png', 'cd1950/entry/1950_Page_711 (3)_22.png', 'cd1950/entry/1950_Page_711 (3)_23.png']",N/A,MASSACHUSETTS MUTUAL LIFE IN. SURANCE CO Turks Head bldg tel GAspee 1-2672See page 84 Buyers Guide and left top lines
16,FAILED TO PARSE AN ADDRESS,['cd1950/entry/1950_Page_712 (1)_1.png'],N/A,Apartment BuildingsCon
17,"SCORE LESS THAN CUTOFF: Burrill,73,PROVIDENCE",['cd1950/entry/1950_Page_712 (1)_2.png'],RILL ST,Central Apts 21 Burrill
18,"SCORE LESS THAN CUTOFF: Somerset RI Mansion Co 100 Charles Field,66.5,PROVIDENCE",['cd1950/entry/1950_Page_712 (2)_2.png'],SOMERSET ST,"Regal Arms 8 Somerset
RI Mansion Co 100 Charles Field"
