,Drop_Reason,File_List,Street,Text
0,"SCORE LESS THAN CUTOFF: WestminsterSee bottom edge,73.5,PROVIDENCE",['cd1936/entry/1936_Page_209 (1).chop_8.png'],WESTMINSTER ST,"MORTGAGE GUARANTEE & TITLE
CO 85 WestminsterSee bottom edge"
1,"SCORE LESS THAN CUTOFF: WestminsterSee back bone top lines anda page 173,62.5,PROVIDENCE","['cd1936/entry/1936_Page_209 (1).chop_9.png', 'cd1936/entry/1936_Page_209 (1).chop_10.png', 'cd1936/entry/1936_Page_209 (1).chop_11.png']",WESTMINSTER ST,"top lines and page 174

REAL ESTATE TITLE INSURANCE
COMPANY OF PROVIDENCE 2010
Industrial Trust bldg 111 Westmin- sterSee back bone top lines anda page 173"
2,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_209 (1).chop_13.png'],N/A,"(See Schools, Colleges & Academies)"
3,"SCORE LESS THAN CUTOFF: Westminster suite 301-304See back,75.0,PROVIDENCE",['cd1936/entry/1936_Page_209 (1).chop_15.png'],WESTMINSTER ST,"FULLER WINFIELD CO Inc 49 West-
minster suite 301-304See back"
4,"SCORE LESS THAN CUTOFF: PAIGE C D & C0171 Westminster,79.0,PROVIDENCE","['cd1936/entry/1936_Page_209 (1).chop_16.png', 'cd1936/entry/1936_Page_209 (1).chop_17.png']",WESTMINSTER ST,"cover and page 123
PAIGE C D & C0171 WestminsterSee page 122"
5,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_209 (1).chop_19.png'],N/A,*Denotes Certified Public Accountants
6,"SCORE LESS THAN CUTOFF: Westmin-,78.0,PROVIDENCE",['cd1936/entry/1936_Page_209 (1).chop_25.png'],WESTMINSTER ST,"1208
Blackman & Blackman 111 Westmin-"
7,"SCORE LESS THAN CUTOFF: Borod Audit Co 111 Westminster rm,75.0,PROVIDENCE",['cd1936/entry/1936_Page_209 (1).chop_26.png'],WESTMINSTER ST,"ster rm 1208
Borod Audit Co 111 Westminster rm"
8,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_209 (1).chop_29.png'],N/A,"See page 66
*Bugbee Geo W 111 Westminster rm"
9,"SCORE LESS THAN CUTOFF: Smith Christiansen, Murphy & Co 170 Westminster,48.5,PROVIDENCE","['cd1936/entry/1936_Page_209 (1).chop_31.png', 'cd1936/entry/1936_Page_209 (1).chop_32.png']",CHRISTOPHER ST,"1210
*Chafee Walter B 247 Smith
Christiansen, Murphy & Co 170 West- minster rm 416"
10,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_210 (2)_1.png'],N/A,PROVIDENCE BUSINESS DIRECTORY
11,EMPTY STREET,['cd1936/entry/1936_Page_210 (2)_31.png'],,Cycledrome ft White st
12,"SCORE LESS THAN CUTOFF: SackettSe page 67,73.0,PROVIDENCE","['cd1936/entry/1936_Page_211 (1)_5.png', 'cd1936/entry/1936_Page_211 (1)_6.png']",SACKETT ST,CARTER BARNETT 85 SackettSe page 67
13,"SCORE LESS THAN CUTOFF: Westminster See front cover and pages 126 and 175,68,PROVIDENCE","['cd1936/entry/1936_Page_211 (1)_10.png', 'cd1936/entry/1936_Page_211 (1)_11.png', 'cd1936/entry/1936_Page_211 (1)_12.png']",WESTMINSTER ST,GROSS GL & H J Inc 170 Westminster See front cover and pages 126 and 175
14,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_211 (2)_2.png'],N/A,(See also Well Drillers & Borers)
15,"SCORE LESS THAN CUTOFF: Blount,77,PROVIDENCE","['cd1936/entry/1936_Page_211 (2)_6.png', 'cd1936/entry/1936_Page_211 (2)_7.png']",BELMONT AVE,California Artificial Flower Co 14 Blount and 263 Weybosset
16,"SCORE LESS THAN CUTOFF: Wash rms 305-306,70,PROVIDENCE",['cd1936/entry/1936_Page_211 (2)_10.png'],WASHINGTON ST,Barr Irving S Co 56 Wash rms 305-306
17,"SCORE LESS THAN CUTOFF: Brown Christian Association 75 Waterman,52.5,PROVIDENCE","['cd1936/entry/1936_Page_211 (3)_50.png', 'cd1936/entry/1936_Page_211 (3)_51.png']",UNION STATION ST,"506See front colored page 5
Brown Christian Association 75 Water- man"
18,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_211 (3)_55.png'],N/A,"Chamber of Commerce The, Market sa"
19,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_212 (1)_1.png'],N/A,212
20,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_212 (1)_2.png'],N/A,"Associations & Clubs, CommercialCon"
21,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_212 (1)_8.png'],N/A,Providence Community Concert Assn
22,EMPTY STREET,"['cd1936/entry/1936_Page_212 (1)_9.png', 'cd1936/entry/1936_Page_212 (1)_10.png']",,"78 Weybosset
Providence Credit Bureau, Chamber of Commerce bldg 3d fl"
23,"SCORE LESS THAN CUTOFF: Wash top fi,76.5,PROVIDENCE","['cd1936/entry/1936_Page_212 (1)_18.png', 'cd1936/entry/1936_Page_212 (1)_19.png']",WASHINGTON ST,RI Fish & Game Protective Assn 63 Wash top fi
24,"SCORE LESS THAN CUTOFF: Hospital Trust bldz 15 Westminster,74.5,PROVIDENCE","['cd1936/entry/1936_Page_212 (1)_63.png', 'cd1936/entry/1936_Page_212 (1)_64.png']",WESTMINSTER ST,"HART, GAINER & CARR 1138 Hospital Trust bldz 15 Westminster"
25,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_212 (2)_1.png'],N/A,PROVIDENCE BUSINESS DIRECTORY
26,"SCORE LESS THAN CUTOFF: Westminster See front cover and page 174,71.5,PROVIDENCE","['cd1936/entry/1936_Page_212 (2)_14.png', 'cd1936/entry/1936_Page_212 (2)_15.png', 'cd1936/entry/1936_Page_212 (2)_16.png']",WESTMINSTER ST,COOKE HENRY W CO 615-617 Hos- pital Trust bldg 15 Westminster See front cover and page 174
27,"SCORE LESS THAN CUTOFF: Westminster See front cover and pages 126 and 175,68,PROVIDENCE","['cd1936/entry/1936_Page_212 (2)_17.png', 'cd1936/entry/1936_Page_212 (2)_18.png', 'cd1936/entry/1936_Page_212 (2)_19.png']",WESTMINSTER ST,GROSS GL & H J Inc 170 Westminster See front cover and pages 126 and 175
28,FAILED TO PARSE AN ADDRESS,['cd1936/entry/1936_Page_212 (2)_25.png'],N/A,(See also Accountants and Auditors)
29,EMPTY STREET,"['cd1936/entry/1936_Page_212 (3)_37.png', 'cd1936/entry/1936_Page_212 (3)_38.png', 'cd1936/entry/1936_Page_212 (3)_39.png']",,CHRYSLER (Colt Brady Company dis- tributors) One Reservoir av-See top lines and page 68
30,"SCORE LESS THAN CUTOFF: Exchange Pawtucket,68,PROVIDENCE","['cd1936/entry/1936_Page_212 (3)_40.png', 'cd1936/entry/1936_Page_212 (3)_41.png']",PAWTUXET AV,DeSOTO (Frank Crook Inc) 103 Ex- change PawtucketSee page 71
31,EMPTY STREET,"['cd1936/entry/1936_Page_212 (3)_60.png', 'cd1936/entry/1936_Page_212 (3)_61.png', 'cd1936/entry/1936_Page_212 (3)_62.png']",,PLYMOUTH (Colt Brady Company dis- tributors) One Reservoir av-See top lines and page 68
32,"SCORE LESS THAN CUTOFF: Exchange, Pawtucket,68,PROVIDENCE","['cd1936/entry/1936_Page_212 (3)_63.png', 'cd1936/entry/1936_Page_212 (3)_64.png']",PAWTUXET AV,"PLYMOUTH (Frank Crook Ine) 103 Exchange, PawtucketSee page 71"
33,"SCORE LESS THAN CUTOFF: Exchange, Pawtucket,68,PROVIDENCE","['cd1936/entry/1936_Page_212 (3)_68.png', 'cd1936/entry/1936_Page_212 (3)_69.png']",PAWTUXET AV,"REO (Frank Crook Inc) 103 Exchange, PawtucketSee page 71"
34,"SCORE LESS THAN CUTOFF: Elmwood avSee top lines page 70,68.5,PROVIDENCE","['cd1936/entry/1936_Page_212 (3)_70.png', 'cd1936/entry/1936_Page_212 (3)_71.png', 'cd1936/entry/1936_Page_212 (3)_72.png', 'cd1936/entry/1936_Page_212 (3)_73.png']",ELMWOOD AVE,TERRAPLANE Henley-Kimball Co The sales and service station 635 Elmwood avSee top lines and page 70
35,"SCORE LESS THAN CUTOFF: Exchange Pawtucket,68,PROVIDENCE","['cd1936/entry/1936_Page_213 (1)_42.png', 'cd1936/entry/1936_Page_213 (1)_43.png']",PAWTUXET AV,CROOK FRANK Inc 103 Exchange PawtucketSee page 71
