,Drop_Reason,File_List,Street,Text
0,EMPTY STREET,"['cd1972/entry/1972_Page_104 (1)_30.png', 'cd1972/entry/1972_Page_104 (1)_31.png']",,"111 Westminster St (02903), Tel 751-7500
Cohn Newton B 15 Westminster St Rm 810"
1,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1972/entry/1972_Page_104 (1)_34.png'],1ST ST,Erost & Ernst 1702 Industrial Bank Bldg 111
2,EMPTY STREET,['cd1972/entry/1972_Page_104 (1)_35.png'],,"-~ . Westminster St (02903), Tel 521-9500"
3,"SCORE LESS THAN CUTOFF: Farnum Pike,66.5,PROVIDENCE","['cd1972/entry/1972_Page_105 (2)_3.png', 'cd1972/entry/1972_Page_105 (2)_4.png']",FARM ST,"CESSPOOL CLEANERS), 61 Farnum Pike (Smithfield; 02917), Tel 231-3561"
4,"SCORE LESS THAN CUTOFF: Weyrosset St, 6th,76.5,PROVIDENCE","['cd1972/entry/1972_Page_105 (2)_39.png', 'cd1972/entry/1972_Page_105 (2)_40.png', 'cd1972/entry/1972_Page_105 (2)_41.png']",WEYBOSSET ST,"FITZGERALDTOOLE & CO INC 274 Weyrosset St, 6th Fl (02903) Tel 421- 6760"
5,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_105 (3)_35.png'],N/A,POLK RL & CO
6,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE","['cd1972/entry/1972_Page_105 (3)_37.png', 'cd1972/entry/1972_Page_105 (3)_38.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231"
7,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_105 (3)_50.png'],N/A,
8,FAILED TO PARSE AN ADDRESS,"['cd1972/entry/1972_Page_106 (1)_2.png', 'cd1972/entry/1972_Page_106 (1)_3.png', 'cd1972/entry/1972_Page_106 (1)_4.png']",N/A,
9,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_5.png'],N/A,PROVIDENCE GAS
10,ERROR IN STREET MATCHING,"['cd1972/entry/1972_Page_106 (1)_7.png', 'cd1972/entry/1972_Page_106 (1)_8.png', 'cd1972/entry/1972_Page_106 (1)_9.png', 'cd1972/entry/1972_Page_106 (1)_10.png', 'cd1972/entry/1972_Page_106 (1)_11.png', 'cd1972/entry/1972_Page_106 (1)_12.png']",02903),"100 WEYBOSSET STREET (PROVIDENCE, 02903) TELEPHONE 831-8800 (See Index To Advertisers)"
11,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_13.png'],N/A,AIR FREIGHT AND EXPRESS
12,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_16.png'],N/A,
13,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_19.png'],N/A,
14,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_20.png'],N/A,
15,"SCORE LESS THAN CUTOFF: -8989,29.0,PROVIDENCE",['cd1972/entry/1972_Page_106 (1)_23.png'],I 95,' 737-8989
16,FAILED TO PARSE AN ADDRESS,"['cd1972/entry/1972_Page_106 (1)_24.png', 'cd1972/entry/1972_Page_106 (1)_25.png', 'cd1972/entry/1972_Page_106 (1)_26.png']",N/A,
17,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_106 (1)_34.png'],N/A,
18,ERROR IN STREET MATCHING,"['cd1972/entry/1972_Page_106 (1)_44.png', 'cd1972/entry/1972_Page_106 (1)_45.png', 'cd1972/entry/1972_Page_106 (1)_46.png']","02865),","SKYLANES INC, North Central State Airport (Lincoln; 02865), Tels 726-6115, 726-4040 (See Index To Advertisers)"
19,EMPTY STREET,"['cd1972/entry/1972_Page_106 (2)_27.png', 'cd1972/entry/1972_Page_106 (2)_28.png', 'cd1972/entry/1972_Page_106 (2)_29.png']",,"ANSERPHONE SERVICE Fletcher St Ext (Plainville, Mass 02762), Tel 521-5387 (See Index To Advertisers)"
20,EMPTY STREET,['cd1972/entry/1972_Page_107 (1)_3.png'],,Fifty Common St Apts 50 Common St
21,EMPTY STREET,"['cd1972/entry/1972_Page_107 (1)_81.png', 'cd1972/entry/1972_Page_107 (1)_82.png']",,North Main St Apartments 118 N Main St
22,EMPTY STREET,"['cd1972/entry/1972_Page_107 (1)_83.png', 'cd1972/entry/1972_Page_107 (1)_84.png']",,One Hundred Seventy-Two N Main St Apartments 172 N Main St
23,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_107 (3)_20.png'],N/A,
24,EMPTY STREET,"['cd1972/entry/1972_Page_107 (3)_21.png', 'cd1972/entry/1972_Page_107 (3)_22.png', 'cd1972/entry/1972_Page_107 (3)_23.png', 'cd1972/entry/1972_Page_107 (3)_24.png']",,"GOWER AND CO, 642 Hospital Trust Bldg (02903), Tel (401) 751-8100 (See Index To: Advertisers)"
25,EMPTY STREET,"['cd1972/entry/1972_Page_107 (3)_61.png', 'cd1972/entry/1972_Page_107 (3)_62.png']",,Providence Partnership The Holden Ct
26,"SCORE LESS THAN CUTOFF: Cabot St,77,PROVIDENCE",['cd1972/entry/1972_Page_108 (2)_4.png'],TALBOT ST,Fletcher Edw G Jr 29 Cabot St
27,EMPTY STREET,"['cd1972/entry/1972_Page_109 (1)_2.png', 'cd1972/entry/1972_Page_109 (1)_3.png', 'cd1972/entry/1972_Page_109 (1)_4.png', 'cd1972/entry/1972_Page_109 (1)_5.png', 'cd1972/entry/1972_Page_109 (1)_6.png']",332 ,Woolley Blais & QuinnCONTD PO Box 332 (Pawtucket; 02862) Telephone 725-1123
28,"SCORE LESS THAN CUTOFF: Cabot St,77,PROVIDENCE",['cd1972/entry/1972_Page_109 (1)_22.png'],TALBOT ST,Cassill Karilyn K Mrs 31 Cabot St
29,FAILED TO PARSE AN ADDRESS,['cd1972/entry/1972_Page_109 (2)_49.png'],N/A,POLK R L & CO
30,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE","['cd1972/entry/1972_Page_109 (2)_51.png', 'cd1972/entry/1972_Page_109 (2)_52.png']",1ST ST,"431 HOWARD STREET DETROIT, MICHIGAN 48231"
31,"SCORE LESS THAN CUTOFF: Fountain St, Providence, RI,79.0,PROVIDENCE","['cd1972/entry/1972_Page_109 (2)_58.png', 'cd1972/entry/1972_Page_109 (2)_59.png', 'cd1972/entry/1972_Page_109 (2)_60.png', 'cd1972/entry/1972_Page_109 (2)_61.png']",PROVIDENCE PL,"ALPINE AUTO BODY INC, 416 Fountain St, Providence, RI (02930), Tels 421-6770 And 421-6648 (See Index To Advertisers)"
32,ERROR IN STREET MATCHING,"['cd1972/entry/1972_Page_109 (3)_31.png', 'cd1972/entry/1972_Page_109 (3)_32.png', 'cd1972/entry/1972_Page_109 (3)_33.png']","02917),","JILL AUTO SALES LTD, Douglas Pike (Smithfield; 02917), Tel 231-7686 (See Index To Advertisers)"
33,"SCORE LESS THAN CUTOFF: Putnam Pike Rt 44,76,PROVIDENCE","['cd1972/entry/1972_Page_110 (1)_70.png', 'cd1972/entry/1972_Page_110 (1)_71.png', 'cd1972/entry/1972_Page_110 (1)_72.png']",PUTNAM ST,SCUNCIO CHEVROLET INC 446 Putnam Pike Rt 44 (Greenville 02828) Tel 949-
34,"SCORE LESS THAN CUTOFF: Bald Hill Rd,67.5,PROVIDENCE","['cd1972/entry/1972_Page_110 (1)_73.png', 'cd1972/entry/1972_Page_110 (1)_74.png', 'cd1972/entry/1972_Page_110 (1)_75.png']",BALDWIN CT,"SHORE CITY LINCOLN MERCURY INC, 945 Bald Hill Rd (Warwick, RI; 02886), Tel 828-7100"
35,EMPTY STREET,"['cd1972/entry/1972_Page_111 (1)_63.png', 'cd1972/entry/1972_Page_111 (1)_64.png', 'cd1972/entry/1972_Page_111 (1)_65.png', 'cd1972/entry/1972_Page_111 (1)_66.png']",,"MANNOLINIS AUTO SUPPLY INC, Corner Newport And Columbus Av (Pawtucket; 02861), Tels 401-726-9670, Tel 726-3366"
