,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1964/entry/1964_Page_108 (1)_1.png', 'cd1964/entry/1964_Page_108 (1)_2.png', 'cd1964/entry/1964_Page_108 (1)_3.png']",N/A,ABRAS IVES MANUFACTURERS (SEE ALSO GRINDING WHEELS - MANUFACTURERS )
1,FAILED TO PARSE AN ADDRESS,"['cd1964/entry/1964_Page_108 (1)_4.png', 'cd1964/entry/1964_Page_108 (1)_5.png', 'cd1964/entry/1964_Page_108 (1)_6.png', 'cd1964/entry/1964_Page_108 (1)_7.png']",N/A,"AMERICAN EMERY WHEEL WORKS (GRINDING WHEELS), WATERMAN AND EAST RIVER, TELS 751-5400-1-2-3 (SEE PAGE 62 BUYERS GUIDE)"
2,"SCORE LESS THAN CUTOFF: EDDY Si ACCOUNT ANTS CERTIFIED,51.5,PROVIDENCE","['cd1964/entry/1964_Page_108 (1)_8.png', 'cd1964/entry/1964_Page_108 (1)_9.png']",WESTFIELD ST,LAIRD DE VOU INC 1201 EDDY Si ACCOUNT ANTS  CERTIFIED
3,EMPTY STREET,"['cd1964/entry/1964_Page_108 (1)_18.png', 'cd1964/entry/1964_Page_108 (1)_19.png']",,BROWN HARRY C LLL WESTMINSTER ST RM 611
4,"SCORE LESS THAN CUTOFF: HOSPITAL TRUST BLDG 15 WESTMINSTER,,74.5,PROVIDENCE","['cd1964/entry/1964_Page_108 (1)_22.png', 'cd1964/entry/1964_Page_108 (1)_23.png']",WESTMINSTER ST,"COMERY RICHARD T, 812 HOSPITAL TRUST BLDG 15 WESTMINSTER, TEL 421-8088"
5,"SCORE LESS THAN CUTOFF: INDUSTRIAL BANK BLDG 111 WESTMINSTER,,73.5,PROVIDENCE","['cd1964/entry/1964_Page_108 (1)_26.png', 'cd1964/entry/1964_Page_108 (1)_27.png']",WESTMINSTER ST,"ERNST & ERNST, 1702 INDUSTRIAL BANK BLDG 111 WESTMINSTER, TEL 421-8430"
6,"SCORE LESS THAN CUTOFF: INDUSTRIAL BANK BLOG 111 WESTMINSTER,,73.5,PROVIDENCE","['cd1964/entry/1964_Page_108 (1)_34.png', 'cd1964/entry/1964_Page_108 (1)_35.png']",WESTMINSTER ST,"HASKINS & SELLS, 430 INDUSTRIAL BANK BLOG 111 WESTMINSTER, TEL 861-0741"
7,EMPTY STREET,"['cd1964/entry/1964_Page_108 (1)_40.png', 'cd1964/entry/1964_Page_108 (1)_41.png']",,O'BRIEN E L & CO LLL WESTMINSTER ST RM 2504
8,"SCORE LESS THAN CUTOFF: HOSPITAL TRUST BLDG 15 WESTMINSTER,,74.5,PROVIDENCE",['cd1964/entry/1964_Page_108 (1)_44.png'],WESTMINSTER ST,"PRICE WATERHOUSE & CO, 508 HOSPITAL
TRUST BLDG 15 WESTMINSTER, TEL 421-"
9,"SCORE LESS THAN CUTOFF: INDUSTRIAL BANK BLDG 111 WESTMINSTER,,73.5,PROVIDENCE","['cd1964/entry/1964_Page_108 (1)_45.png', 'cd1964/entry/1964_Page_108 (1)_46.png']",WESTMINSTER ST,"0501
WARD, FISHER & CO, 2400 INDUSTRIAL
BANK BLDG 111 WESTMINSTER, TEL 421- 5768"
10,FAILED TO PARSE AN ADDRESS,['cd1964/entry/1964_Page_108 (1)_47.png'],N/A,
11,FAILED TO PARSE AN ADDRESS,['cd1964/entry/1964_Page_108 (1)_48.png'],N/A,ACCOUNTANTS  PUBLIC
12,"SCORE LESS THAN CUTOFF: SMITH,ST RM 6,78.0,PROVIDENCE",['cd1964/entry/1964_Page_108 (1)_56.png'],SMITH ST,"AANDELMAN LEG 428 SMITH,ST RM 6"
13,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1964/entry/1964_Page_108 (1)_58.png'],10TH ST,4. 940
14,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1964/entry/1964_Page_108 (1)_61.png'],1ST ST,RM 521
15,FAILED TO PARSE AN ADDRESS,"['cd1964/entry/1964_Page_108 (1)_63.png', 'cd1964/entry/1964_Page_108 (1)_64.png', 'cd1964/entry/1964_Page_108 (1)_65.png']",N/A,
16,EMPTY STREET,"['cd1964/entry/1964_Page_108 (2)_35.png', 'cd1964/entry/1964_Page_108 (2)_36.png']",,ENOS ANTHONY S11 WESTMINSTER ST RM 601
17,"SCORE LESS THAN CUTOFF: RM 24,55.5,PROVIDENCE",['cd1964/entry/1964_Page_108 (3)_13.png'],ORMS ST,NEWMAN ERNEST M 188 RM 24
18,FAILED TO PARSE AN ADDRESS,['cd1964/entry/1964_Page_109 (1)_1.png'],N/A,*ADDRESSING MACHINES
19,"SCORE LESS THAN CUTOFF: TURKS URKS HEAD BLDG 76 WESTMINSTER, T TEL 421-4901,68.0,PROVIDENCE","['cd1964/entry/1964_Page_109 (1)_30.png', 'cd1964/entry/1964_Page_109 (1)_31.png']",WESTMINSTER ST,"HORTON, CHURCH & GOFF INC, 800 TURKS URKS HEAD BLDG 76 WESTMINSTER,

T
TEL 421-4901"
20,"SCORE LESS THAN CUTOFF: HOWARD DETROIT 31, MICHIGAN,73.5,PROVIDENCE","['cd1964/entry/1964_Page_109 (1)_66.png', 'cd1964/entry/1964_Page_109 (1)_67.png', 'cd1964/entry/1964_Page_109 (1)_68.png', 'cd1964/entry/1964_Page_109 (1)_69.png', 'cd1964/entry/1964_Page_109 (1)_70.png']",MICHIGAN AVE,"POLK RL & CO POLK BUILDING 431 HOWARD DETROIT 31, MICHIGAN"
