,Index,Address,City,Company_Name,Conf_Score,File_List,Header,Text
0,2,354 BROADWAY ST,PROVIDENCE,CINNO JOHN J ACCT CERTIFIED PUB,100.0,"['cd1966/entry/1966_Page_108 (1).chop_10.png', 'cd1966/entry/1966_Page_108 (1).chop_11.png', 'cd1966/entry/1966_Page_108 (1).chop_12.png', 'cd1966/entry/1966_Page_108 (1).chop_13.png', 'cd1966/entry/1966_Page_108 (1).chop_14.png']",ABRASIVESMANUFACTURERS,CINNO JOHN J ACCT CERTIFIED PUB 354 BROADWAY ST (LOW JACK 111 WESTMINSTER ST RM 628 ACKMAN & BLACKMAN 111 WESTMINSTER ST RM 1209
1,11,430 INDUSTRIAL DR,PROVIDENCE,"WASKINS & SELLS,",100.0,['cd1966/entry/1966_Page_108 (1).chop_34.png'],ABRASIVESMANUFACTURERS,"WASKINS & SELLS, 430 INDUSTRIAL"
2,17,508 HOSPITAL ST,PROVIDENCE,"RICE WATERHOUSE & CO,",100.0,"['cd1966/entry/1966_Page_108 (1).chop_47.png', 'cd1966/entry/1966_Page_108 (1).chop_48.png']",ABRASIVESMANUFACTURERS,"OORRANCE ST RM S00 RICE WATERHOUSE & CO, 508 HOSPITAL"
3,19,35 WESTMINSTER ST,PROVIDENCE,CCOUNTING ASSOCIATES,100.0,"['cd1966/entry/1966_Page_108 (1).chop_59.png', 'cd1966/entry/1966_Page_108 (1).chop_60.png']",ACCOUNTANTSPUBLIC,CCOUNTING ASSOCIATES 35 WESTMINSTER
4,20,10 WESTMINSTER ST,PROVIDENCE,ST RM,80.0,"['cd1966/entry/1966_Page_108 (1).chop_61.png', 'cd1966/entry/1966_Page_108 (1).chop_62.png', 'cd1966/entry/1966_Page_108 (1).chop_63.png', 'cd1966/entry/1966_Page_108 (1).chop_64.png']",ACCOUNTANTSPUBLIC,ST RM 10 @AOLER BENS E 15 WESTMINSTER ST RM 904 DLER LOUIS 15 WESTMINSTER ST RM 904 -LLEN DAVID 170 WESTMINSTER ST RM
5,33,168 BROADWAY ST,PROVIDENCE,DAVID BENNIE A,100.0,['cd1966/entry/1966_Page_108 (2).chop_17.png'],ACCOUNTANTSPUBLIC,DAVID BENNIE A 168 BROADWAY ST
6,35,20 OLNEYVILLE SQ,PROVIDENCE,",OELLA VENTURA GAETANO C",92.0,"['cd1966/entry/1966_Page_108 (2).chop_19.png', 'cd1966/entry/1966_Page_108 (2).chop_20.png']",ACCOUNTANTSPUBLIC,",OELLA VENTURA GAETANO C 20 OLNEYVILLE SQ RM 1"
7,60,32 WESTMINSTER ST,PROVIDENCE,LANE WARREN C,100.0,"['cd1966/entry/1966_Page_108 (2).chop_61.png', 'cd1966/entry/1966_Page_108 (2).chop_62.png']",ACCOUNTANTSPUBLIC,LANE WARREN C 32 WESTMINSTER ST RM 600
8,69,6 WESTMINSTER ST,PROVIDENCE,MILLMAN CARDELLO,86.5,"['cd1966/entry/1966_Page_108 (2).chop_72.png', 'cd1966/entry/1966_Page_108 (2).chop_73.png']",ACCOUNTANTSPUBLIC,"610

MILLMAN CARDELLO 6 CO L1Li. WESTMINSTER"
9,73,32 WESTMINSTER ST,PROVIDENCE,PEDORELLA VICTOR L,100.0,"['cd1966/entry/1966_Page_108 (3).chop_7.png', 'cd1966/entry/1966_Page_108 (3).chop_8.png']",ACCOUNTANTSPUBLIC,PEDORELLA VICTOR L 32 WESTMINSTER ST RM 403
10,97,236 BROADWAY ST,PROVIDENCE,VILLATICO GUY,100.0,['cd1966/entry/1966_Page_108 (3).chop_42.png'],ACCOUNTANTSPUBLIC,VILLATICO GUY 236 BROADWAY ST
11,103,965 WATERMAN AVE,PROVIDENCE,"ADDRESSOGRAPH-MULTIGRAPH CORP, Providence Branch Office",100.0,"['cd1966/entry/1966_Page_108 (3).chop_54.png', 'cd1966/entry/1966_Page_108 (3).chop_55.png', 'cd1966/entry/1966_Page_108 (3).chop_56.png']",*ADDRESSING MACHINES ADDRESSOGRAPH AND SPEEDAUMAT,"ADDRESSOGRAPH-MULTIGRAPH CORP, Providence Branch Office 965 Water- man Av (E Providence) Tel 438-2650"
12,115,1 WESTMINSTER ST,PROVIDENCE,BRAITSCH C ARTH,96.5,"['cd1966/entry/1966_Page_109 (1)_22.png', 'cd1966/entry/1966_Page_109 (1)_23.png']",UNion 1-9200 ADVERTISING AGENCIES,BRAITSCH C ARTH 1&5 WESTMINSTER ST RM
13,125,182 BROADWAY ST,PROVIDENCE,KIERNAN BERNARD J,100.0,['cd1966/entry/1966_Page_109 (1)_41.png'],UNion 1-9200 ADVERTISING AGENCIES,KIERNAN BERNARD J 182 BROADWAY ST
14,136,35 WESTMINSTER ST,PROVIDENCE,RHODE ISLANO EXPOSITION INC THE,100.0,"['cd1966/entry/1966_Page_109 (1)_58.png', 'cd1966/entry/1966_Page_109 (1)_59.png']",UNion 1-9200 ADVERTISING AGENCIES,RHODE ISLANO EXPOSITION INC THE 35 WESTMINSTER ST RM 8
15,149,179 BROADWAY ST,PROVIDENCE,MASTERCRAFT AOVERTISING CO INC,100.0,"['cd1966/entry/1966_Page_109 (2)_10.png', 'cd1966/entry/1966_Page_109 (2)_11.png']",ADVERTISING NOVELTIES,MASTERCRAFT AOVERTISING CO INC 179 BROADWAY ST
16,160,39 CENTRAL AVE,PROVIDENCE,"LUTZ SERVICE INC,",100.0,"['cd1966/entry/1966_Page_109 (2)_42.png', 'cd1966/entry/1966_Page_109 (2)_43.png']",AIR CONDITIONING EQUIPMENT AND SUPPLIESSALES AND SERVICE,"LUTZ SERVICE INC, 39 Central. Tel 521-7900"
17,210,131 BROADWAY ST,PROVIDENCE,BARCLAY APARTMENTS,89.5,['cd1966/entry/1966_Page_109 (3)_64.png'],APARTMENT BUILDINGS,BARCLAY APARTMENTS 131 GROADWAY ST
18,222,235 BROADWAY ST,PROVIDENCE,BROADWAY APARTMENTS,100.0,['cd1966/entry/1966_Page_110 (1)_6.png'],+ APARTMENT BUILDINGS-Contd |,BROADWAY APARTMENTS 235 BROADWAY ST
19,227,485 BROADWAY ST,PROVIDENCE,PE CAROL LOIS APARTMENTS,100.0,['cd1966/entry/1966_Page_110 (1)_12.png'],+ APARTMENT BUILDINGS-Contd |,PE CAROL LOIS APARTMENTS 485 BROADWAY ST
20,245,30 NORTH K ST,PROVIDENCE,.. FURLONG APARTMENTS,87.5,['cd1966/entry/1966_Page_110 (1)_56.png'],+ APARTMENT BUILDINGS-Contd |,.. FURLONG APARTMENTS 30 N COURT ST
