,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1943/entry/1943_Page_1073 (1)_7.png', 'cd1943/entry/1943_Page_1073 (1)_8.png']",N/A,"American Emery Wheel Works, Rich- mond sq"
1,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1073 (2)_14.png'],N/A,* AccountantsChartered
2,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1073 (2)_18.png'],N/A,*Denotes Certified Public Accountants
3,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1074 (1)_1.png'],N/A,Accountants & AuditorsCon
4,"SCORE LESS THAN CUTOFF: Lincoln Boston, Mass,77.0,PROVIDENCE","['cd1943/entry/1943_Page_1074 (2)_50.png', 'cd1943/entry/1943_Page_1074 (2)_51.png']",LINCOLN AVE,"POLK RL & CO District Office 179 Lin- coln Boston, Mass tel Hancock 6309"
5,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE","['cd1943/entry/1943_Page_1074 (3)_51.png', 'cd1943/entry/1943_Page_1074 (3)_52.png']",3RD ST,"Weston Franklin S, Prov Biltmore rm 133"
6,"SCORE LESS THAN CUTOFF: Major,67.0,PROVIDENCE",['cd1943/entry/1943_Page_1075 (3)_15.png'],MARK DR,Gallant Cath E Mrs 16 Major
7,ERROR IN STREET MATCHING,['cd1943/entry/1943_Page_1076 (3)_33.png'],133:,"Cowell Donald, Prov Biltmore rm 133:"
8,"SCORE LESS THAN CUTOFF: -211,57,PROVIDENCE","['cd1943/entry/1943_Page_1077 (2)_18.png', 'cd1943/entry/1943_Page_1077 (2)_19.png']",11TH ST,"Jewelers Protective Assn, Prov Bilt- more rms 209-211"
9,FAILED TO PARSE AN ADDRESS,"['cd1943/entry/1943_Page_1077 (2)_25.png', 'cd1943/entry/1943_Page_1077 (2)_26.png']",N/A,"Narragansett Racing Assn, Prov Bilt- more"
10,"SCORE LESS THAN CUTOFF: Mantle Club 87 Weybosset,77.5,PROVIDENCE","['cd1943/entry/1943_Page_1077 (2)_45.png', 'cd1943/entry/1943_Page_1077 (2)_46.png']",WEYBOSSET ST,Prov Dist No 25 Mantle Club 87 Wey- bosset rm 220
11,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1077 (3)_34.png'],N/A,
12,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1077 (3)_35.png'],N/A,*Attorneys-at-Law
13,"SCORE LESS THAN CUTOFF: Hospital Trust bldg,79,PROVIDENCE","['cd1943/entry/1943_Page_1077 (3)_60.png', 'cd1943/entry/1943_Page_1077 (3)_61.png', 'cd1943/entry/1943_Page_1077 (3)_62.png', 'cd1943/entry/1943_Page_1077 (3)_63.png']",HOSPITAL ST,CARTER BARNETT & CO 317 Hospital Trust bldg tels office DExter 9576 and HOpkins 6834For further informa- tion see page 4 Buyers Guide
14,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1078 (1)_1.png'],N/A,AuctioneersCon
15,"SCORE LESS THAN CUTOFF: -490 Main, Pawtucket,68.0,PROVIDENCE","['cd1943/entry/1943_Page_1078 (2)_32.png', 'cd1943/entry/1943_Page_1078 (2)_33.png', 'cd1943/entry/1943_Page_1078 (2)_34.png', 'cd1943/entry/1943_Page_1078 (2)_35.png', 'cd1943/entry/1943_Page_1078 (2)_36.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS Frank Crook Inc 450-490 Main, Pawtucket tels PErry 4900 and PLantations 4900 For further information see page 4 Buyers Guide"
16,"SCORE LESS THAN CUTOFF: -490 Main, Pawtucket,68.0,PROVIDENCE","['cd1943/entry/1943_Page_1078 (3)_23.png', 'cd1943/entry/1943_Page_1078 (3)_24.png', 'cd1943/entry/1943_Page_1078 (3)_25.png', 'cd1943/entry/1943_Page_1078 (3)_26.png', 'cd1943/entry/1943_Page_1078 (3)_27.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS, Frank Crook Inc 450-490 Main, Pawtucket tels PErry 4900 and PLantations 4900For further information see page 4 Buyers Guide"
17,"SCORE LESS THAN CUTOFF: Main, Pawtucket,73.0,PROVIDENCE","['cd1943/entry/1943_Page_1078 (3)_29.png', 'cd1943/entry/1943_Page_1078 (3)_30.png', 'cd1943/entry/1943_Page_1078 (3)_31.png', 'cd1943/entry/1943_Page_1078 (3)_32.png']",PAWTUXET AV,"CROOK FRANK Inc (Chevrolet) 450- 490 Main, Pawtucket tels PErry 4900 and PLantations 4900For further information see page 4 Buyers Guide"
18,"SCORE LESS THAN CUTOFF: National Bank of Commerce bldg,52.5,PROVIDENCE","['cd1943/entry/1943_Page_1079 (3)_19.png', 'cd1943/entry/1943_Page_1079 (3)_20.png', 'cd1943/entry/1943_Page_1079 (3)_21.png', 'cd1943/entry/1943_Page_1079 (3)_22.png', 'cd1943/entry/1943_Page_1079 (3)_23.png']",NATURAL HISTORY WY,BEACON FINANCE CO 202 National Bank of Commerce bldg tel GAspee 0248For further information see page 68 Buyers Guide and left top lines
19,"SCORE LESS THAN CUTOFF: Union Trust bldg,74.0,PROVIDENCE","['cd1943/entry/1943_Page_1079 (3)_39.png', 'cd1943/entry/1943_Page_1079 (3)_40.png', 'cd1943/entry/1943_Page_1079 (3)_41.png']",UNION ST,PUBLIC LOAN CORP 408 Union Trust bldg tel GAspee 2994For further in- formation see page 70 Buyers Guide
20,"SCORE LESS THAN CUTOFF: S Main nr Crawford,76.5,PROVIDENCE","['cd1943/entry/1943_Page_1079 (3)_65.png', 'cd1943/entry/1943_Page_1079 (3)_66.png']",CRAWFORD ST,Court House Parking Station 99 S Main nr Crawford
21,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1080 (1)_1.png'],N/A,Automobile ParkingCon
22,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1080 (1)_3.png'],N/A,"Empire Parking Co, Empire cor Wash"
23,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1080 (1)_51.png'],N/A,"Sears Parking Lot, Snow cor Chapel"
24,"SCORE LESS THAN CUTOFF: Ormsbee av,73,PROVIDENCE",['cd1943/entry/1943_Page_1080 (1)_67.png'],ORMS ST,Andrews Auto Service 19 Ormsbee av
25,"SCORE LESS THAN CUTOFF: Jonathan,71.0,PROVIDENCE",['cd1943/entry/1943_Page_1080 (2)_13.png'],NAHANT ST,Butler Clarence A 50 Jonathan
26,"SCORE LESS THAN CUTOFF: Third,67,PROVIDENCE","['cd1943/entry/1943_Page_1081 (1)_1.png', 'cd1943/entry/1943_Page_1081 (1)_2.png', 'cd1943/entry/1943_Page_1081 (1)_3.png', 'cd1943/entry/1943_Page_1081 (1)_4.png']",TIDD ST,WILLIAMS & ANDERSON CO Inc The 14 Third tels GAspee 3621-3622For further information see page 66 Buy- ers Guide
27,"SCORE LESS THAN CUTOFF: Shawmut,73,PROVIDENCE",['cd1943/entry/1943_Page_1081 (1)_13.png'],SHAW ST,Atlantic Burlap Bag Co 10 Shawmut
28,"SCORE LESS THAN CUTOFF: Black,67,PROVIDENCE",['cd1943/entry/1943_Page_1081 (1)_14.png'],BLACKSTONE ST,Blazer Bag Co 58 Black
29,"SCORE LESS THAN CUTOFF: Shawmut,73,PROVIDENCE",['cd1943/entry/1943_Page_1081 (1)_15.png'],SHAW ST,Dwares Saml 11 Shawmut
30,FAILED TO PARSE AN ADDRESS,['cd1943/entry/1943_Page_1081 (1)_22.png'],N/A,Foster Walter S ft of S Angell
