,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1944/entry/1944_Page_825 (1)_7.png', 'cd1944/entry/1944_Page_825 (1)_8.png']",N/A,"American Emery Wheel Works, Rich- mond sq"
1,FAILED TO PARSE AN ADDRESS,"['cd1944/entry/1944_Page_825 (2)_9.png', 'cd1944/entry/1944_Page_825 (2)_10.png']",N/A,*Denotes Certified Public Account- ants
2,FAILED TO PARSE AN ADDRESS,['cd1944/entry/1944_Page_826 (1)_1.png'],N/A,Accountants & AuditorsCon
3,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE","['cd1944/entry/1944_Page_826 (3)_35.png', 'cd1944/entry/1944_Page_826 (3)_36.png']",3RD ST,"Weston Franklin W, Prov-Biltmore rm 133"
4,FAILED TO PARSE AN ADDRESS,['cd1944/entry/1944_Page_827 (1)_10.png'],N/A,. lobby
5,"SCORE LESS THAN CUTOFF: -119-138 Bene-: fit,67.0,PROVIDENCE","['cd1944/entry/1944_Page_827 (2)_68.png', 'cd1944/entry/1944_Page_827 (2)_69.png']",BENEFIT ST,Fraser Apartments 110-119-138 Bene-: fit
6,FAILED TO PARSE AN ADDRESS,['cd1944/entry/1944_Page_828 (1)_1.png'],N/A,Apartment BuildingsCon
7,"SCORE LESS THAN CUTOFF: Hospital Trust bldg,79,PROVIDENCE","['cd1944/entry/1944_Page_828 (1)_12.png', 'cd1944/entry/1944_Page_828 (1)_13.png', 'cd1944/entry/1944_Page_828 (1)_14.png', 'cd1944/entry/1944_Page_828 (1)_15.png']",HOSPITAL ST,CARTER BARNETT & CO 317 Hospital Trust bldg tels DExter 9576 and HOp- kins 6834For further information see page 4 Buyers Guide
8,"SCORE LESS THAN CUTOFF: -211,57,PROVIDENCE","['cd1944/entry/1944_Page_829 (1)_60.png', 'cd1944/entry/1944_Page_829 (1)_61.png']",11TH ST,"Jewelers Protective Association, Prov- Biltmore rms 209-211"
9,FAILED TO PARSE AN ADDRESS,"['cd1944/entry/1944_Page_829 (2)_8.png', 'cd1944/entry/1944_Page_829 (2)_9.png']",N/A,"Narragansett Racing Association, Prov- Biltmore"
10,"SCORE LESS THAN CUTOFF: -211,57,PROVIDENCE","['cd1944/entry/1944_Page_829 (2)_12.png', 'cd1944/entry/1944_Page_829 (2)_13.png', 'cd1944/entry/1944_Page_829 (2)_14.png']",11TH ST,"N E Manufacturing Jewelers & Silver- smiths Associations, Prov-Biltmore rms 209-211"
11,"SCORE LESS THAN CUTOFF: Wash Ist fl,76.5,PROVIDENCE","['cd1944/entry/1944_Page_829 (2)_70.png', 'cd1944/entry/1944_Page_829 (2)_71.png']",WASHINGTON ST,Telephone Workers Building & Loan Association 234 Wash Ist fl
