,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_209 (1)_19.png'],N/A,"(See Schools, Colleges & Academies)"
1,FAILED TO PARSE AN ADDRESS,"['cd1937/entry/1937_Page_209 (1)_30.png', 'cd1937/entry/1937_Page_209 (1)_31.png']",N/A,*Denotes Certified Public Account- ants
2,"SCORE LESS THAN CUTOFF: 7,50,PROVIDENCE",['cd1937/entry/1937_Page_209 (2)_18.png'],7TH ST,- 617
3,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_210 (1)_1.png'],N/A,210
4,"SCORE LESS THAN CUTOFF: 2,50,PROVIDENCE",['cd1937/entry/1937_Page_210 (1)_9.png'],2ND ST,Allen Wales Adding Machine Corp 552
5,"SCORE LESS THAN CUTOFF: Burroughs Adding Machine Co 58 Weybosset,52.5,PROVIDENCE","['cd1937/entry/1937_Page_210 (1)_10.png', 'cd1937/entry/1937_Page_210 (1)_11.png']",BURROWS ST,"Westminster rm 201
Burroughs Adding Machine Co 58 Wey- bosset rm 403"
6,"SCORE LESS THAN CUTOFF: Marchant Calculating Machine Co 74 Wevbosset 4th fi,49.0,PROVIDENCE","['cd1937/entry/1937_Page_210 (1)_14.png', 'cd1937/entry/1937_Page_210 (1)_15.png']",GALLATIN ST,"rm 308
Marchant Calculating Machine Co 74 Wevbosset 4th fi"
7,"SCORE LESS THAN CUTOFF: 4,50,PROVIDENCE",['cd1937/entry/1937_Page_210 (1)_18.png'],4TH ST,"12
Monroe Calculating Machine Co Inc 44"
8,"SCORE LESS THAN CUTOFF: OFFICE APPLIANCE CO The 43 Weybosset,60.0,PROVIDENCE",['cd1937/entry/1937_Page_210 (1)_19.png'],APPIAN WY,"Franklin rm 110
OFFICE APPLIANCE CO The 43 Wey-
bosset telephone GA 3817See page"
9,"SCORE LESS THAN CUTOFF: Hammond Alden M 26 Custom House st,72.5,PROVIDENCE","['cd1937/entry/1937_Page_210 (1)_34.png', 'cd1937/entry/1937_Page_210 (1)_35.png']",HAMMOND ST,"rm 414
Hammond Alden M 26 Custom House st rm 306"
10,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_210 (2)_1.png'],N/A,PROVIDENCE BUSINESS FINDER
11,EMPTY STREET,['cd1937/entry/1937_Page_210 (2)_76.png'],,Cycledrome ft White st
12,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_210 (3)_1.png'],N/A,
13,"SCORE LESS THAN CUTOFF: Pub,67.0,PROVIDENCE",['cd1937/entry/1937_Page_210 (3)_5.png'],PUBLIC ST,Paradise Aviaries & Hospital 557 Pub
14,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_210 (3)_6.png'],N/A,- lic
15,"SCORE LESS THAN CUTOFF: -106. Black stone blvd,76.5,PROVIDENCE","['cd1937/entry/1937_Page_210 (3)_40.png', 'cd1937/entry/1937_Page_210 (3)_41.png']",BLACKSTONE BLVD,Blackstone Apartments 102-106. Black stone blvd
16,"SCORE LESS THAN CUTOFF: -185 Bene fit,73.5,PROVIDENCE","['cd1937/entry/1937_Page_210 (3)_52.png', 'cd1937/entry/1937_Page_210 (3)_53.png']",BENEFIT ST,Colonial Apartments Inc 171-185 Bene fit
17,"SCORE LESS THAN CUTOFF: -12 Black-,61.5,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_5.png'],BLACKSTONE ST,Biincoln Apartments The 8-12 Black-
18,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_6.png'],N/A,Hi stone bivd
19,"SCORE LESS THAN CUTOFF: Westmin-,78.0,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_12.png'],WESTMINSTER ST,EMayfair Apartments The 694 Westmin-
20,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_13.png'],N/A,B ster
21,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_20.png'],N/A,av
22,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_24.png'],N/A,EB .blvd
23,"SCORE LESS THAN CUTOFF: Somerset RI Mansion Co 100 Charles Field,66.5,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_31.png'],SOMERSET ST,"[Bers Arms 8 Somerset
RI Mansion Co 100 Charles Field"
24,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_43.png'],N/A,He oblvd
25,EMPTY STREET,['cd1937/entry/1937_Page_211 (1)_46.png'],,H Wayland av
26,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_53.png'],N/A,*Apothecaries (See Druggists)
27,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_54.png'],N/A,Hl Appraisers
28,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_55.png'],I 95,B Appraisal Co of Rhode Island Inc 49
29,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_56.png'],10TH ST,W Westminster rm 60
30,"SCORE LESS THAN CUTOFF: 4,50,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_58.png'],4TH ST,minster rm 24
31,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_59.png'],10TH ST,ER I Fire Loss Appraisal Bureau 10
32,"SCORE LESS THAN CUTOFF: 4,50,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_60.png'],4TH ST,Weybosset rm 304
33,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_61.png'],N/A,
34,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_62.png'],N/A,{ b *Appraisers of Real Estate
35,"SCORE LESS THAN CUTOFF: See front cover and page 169,56.0,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_65.png'],FREMONT ST,@ 6350See front cover and page 169
36,"SCORE LESS THAN CUTOFF: See front cover and,60.5,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_67.png'],FREMONT ST,tel Gaspee 6040See front cover and
37,"SCORE LESS THAN CUTOFF: 170,57.0,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_68.png'],10TH ST,4 pages 123 and 170
38,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_71.png'],10TH ST,] 7210See page 169
39,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_72.png'],N/A,"Aprons, Jackets &cMfrs"
40,"SCORE LESS THAN CUTOFF: Westminster | Dodge Textile Co Inc 75 Eagle,71.0,PROVIDENCE",['cd1937/entry/1937_Page_211 (1)_73.png'],WESTMINSTER ST,"{ Colonial Apron Co 1748 Westminster
| Dodge Textile Co Inc 75 Eagle"
41,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_74.png'],N/A,Architects
42,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_76.png'],N/A,
43,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_77.png'],N/A,
44,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (1)_78.png'],N/A,
45,"SCORE LESS THAN CUTOFF: Hddy,75.0,PROVIDENCE",['cd1937/entry/1937_Page_211 (2)_60.png'],EDDY ST,Eastern Art Co 710 Hddy
46,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (2)_63.png'],N/A,(See also Well Drillers & Borers)
47,"SCORE LESS THAN CUTOFF: Blount,77,PROVIDENCE",['cd1937/entry/1937_Page_211 (2)_68.png'],BELMONT AVE,California Art Flower Co 14 Blount
48,"SCORE LESS THAN CUTOFF: Wash rms 305-306,70,PROVIDENCE",['cd1937/entry/1937_Page_211 (2)_73.png'],WASHINGTON ST,Barr Irving S Co 56 Wash rms 305-306
49,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_211 (3)_1.png'],N/A,
50,"SCORE LESS THAN CUTOFF: Orange 3d fi Bartigian Sarkis E 4 Westminster rm,67.5,PROVIDENCE",['cd1937/entry/1937_Page_211 (3)_24.png'],WESTMINSTER ST,"Adler Art Associates 66 Orange 3d fi
Bartigian Sarkis E 4 Westminster rm"
51,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_212 (2)_1.png'],N/A,PROVIDENCE BUSINESS FINDER
52,"SCORE LESS THAN CUTOFF: d fi,62.0,PROVIDENCE","['cd1937/entry/1937_Page_212 (2)_4.png', 'cd1937/entry/1937_Page_212 (2)_5.png']",DI FAZIO DR,"Providence Credit Bureau, Chamber of Commerce bldg 3d fi"
53,"SCORE LESS THAN CUTOFF: Wash top fl,76,PROVIDENCE","['cd1937/entry/1937_Page_212 (2)_16.png', 'cd1937/entry/1937_Page_212 (2)_17.png']",WASHINGTON ST,Rhode Island Fish & Game Protective Association 63 Wash top fl
54,"SCORE LESS THAN CUTOFF: Turks Head bidg 76 Westminster,77.0,PROVIDENCE","['cd1937/entry/1937_Page_212 (2)_65.png', 'cd1937/entry/1937_Page_212 (2)_66.png']",WESTMINSTER ST,Sherwood and Clifford 1503 Turks Head bidg 76 Westminster tel Gaspee 2154
55,FAILED TO PARSE AN ADDRESS,"['cd1937/entry/1937_Page_212 (3)_1.png', 'cd1937/entry/1937_Page_212 (3)_2.png']",N/A,
56,"SCORE LESS THAN CUTOFF: Westminster telephor Gaspee 7210,75.5,PROVIDENCE","['cd1937/entry/1937_Page_212 (3)_3.png', 'cd1937/entry/1937_Page_212 (3)_4.png', 'cd1937/entry/1937_Page_212 (3)_5.png']",WESTMINSTER ST,HURLEY RICHARD A 723 Hospital Trust bldg 15 Westminster telephor Gaspee 7210See page 169
57,"SCORE LESS THAN CUTOFF: Garnet Auditoriums,52.0,PROVIDENCE","['cd1937/entry/1937_Page_212 (3)_6.png', 'cd1937/entry/1937_Page_212 (3)_7.png']",STADIUM RD,Milkman & Frost 32 Garnet Auditoriums
58,FAILED TO PARSE AN ADDRESS,['cd1937/entry/1937_Page_212 (3)_12.png'],N/A,(See also Accountants and Auditors)
