,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_725 (1)_2.png'],N/A,* Abrasives
1,FAILED TO PARSE AN ADDRESS,"['cd1945/entry/1945_Page_725 (1)_13.png', 'cd1945/entry/1945_Page_725 (1)_14.png']",N/A,"American Emery Wheel Works, Rich- mond sq"
2,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_725 (2)_1.png'],N/A,igs marked thus (*) are inserted only
3,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_725 (3)_1.png'],N/A,
4,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_725 (3)_2.png'],N/A,rhen specially contracted for.
5,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_726 (1)_1.png'],N/A,Accountants & AuditorsCon
6,"SCORE LESS THAN CUTOFF: Canal, 26 N Main,74.0,PROVIDENCE","['cd1945/entry/1945_Page_726 (1)_23.png', 'cd1945/entry/1945_Page_726 (1)_24.png', 'cd1945/entry/1945_Page_726 (1)_25.png', 'cd1945/entry/1945_Page_726 (1)_26.png', 'cd1945/entry/1945_Page_726 (1)_27.png']",CANAL WALK,"MORRIS PLAN BANK OF RHODE IS- LAND The 25 Canal, 26 N Main tel DExter 9800 and 30 Olneyville sq For further information see page 14 Buyers Guide and left side lines"
7,"SCORE LESS THAN CUTOFF: Old Colony House 58 Weybasset,65.5,PROVIDENCE","['cd1945/entry/1945_Page_726 (2)_51.png', 'cd1945/entry/1945_Page_726 (2)_52.png']",WEYBOSSET ST,Louttit T Robley Ine 901 Old Colony House 58 Weybasset
8,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE","['cd1945/entry/1945_Page_726 (3)_1.png', 'cd1945/entry/1945_Page_726 (3)_2.png']",3RD ST,"Weston Franklin W, Prov Biltmore 133"
9,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_726 (3)_31.png'],N/A,
10,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_727 (1)_20.png'],N/A,(See also Parks and Playgrounds
11,"SCORE LESS THAN CUTOFF: -110-119-138 Benefit,77.0,PROVIDENCE",['cd1945/entry/1945_Page_727 (2)_27.png'],BENEFIT ST,Fraser Apts 34-110-119-138 Benefit
12,"SCORE LESS THAN CUTOFF: Hospital Trust bldg,79,PROVIDENCE","['cd1945/entry/1945_Page_727 (3)_26.png', 'cd1945/entry/1945_Page_727 (3)_27.png', 'cd1945/entry/1945_Page_727 (3)_28.png', 'cd1945/entry/1945_Page_727 (3)_29.png']",HOSPITAL ST,CARTER BARNETT & CO 317 Hospital Trust bldg tels DExter 9576 and HOp- kins 6834-For further information see page 4 Buyers Guide
13,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_728 (1)_1.png'],N/A,ArchitectsCon
14,"SCORE LESS THAN CUTOFF: -211,57,PROVIDENCE","['cd1945/entry/1945_Page_728 (3)_45.png', 'cd1945/entry/1945_Page_728 (3)_46.png']",11TH ST,"Jewelers Protective Assn, Prov Bilt--; more rms 209-211"
15,FAILED TO PARSE AN ADDRESS,"['cd1945/entry/1945_Page_728 (3)_53.png', 'cd1945/entry/1945_Page_728 (3)_54.png']",N/A,"Narragansett Racing Assn, Prov Bilt- : more"
16,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (1)_1.png'],N/A,"we,"
17,"SCORE LESS THAN CUTOFF: Weybosset 300 Grosvenor bldg,74.5,PROVIDENCE","['cd1945/entry/1945_Page_729 (1)_60.png', 'cd1945/entry/1945_Page_729 (1)_61.png', 'cd1945/entry/1945_Page_729 (1)_62.png']",WEYBOSSET ST,Hodosh Saul 10 Weybosset 300 Grosve- nor bldg tel Gaspee 8582 res tel HOp- kins 1305
18,"SCORE LESS THAN CUTOFF: Hospital Trust bldg,79,PROVIDENCE","['cd1945/entry/1945_Page_729 (1)_78.png', 'cd1945/entry/1945_Page_729 (1)_79.png', 'cd1945/entry/1945_Page_729 (1)_80.png', 'cd1945/entry/1945_Page_729 (1)_81.png', 'cd1945/entry/1945_Page_729 (1)_82.png']",HOSPITAL ST,CARTER BARNETT & CO 317 Hospital Trust bldg tels office DExter 9576 and HOpkins 6834For further in- formation see nage 4 Buyers Guide WHEN QUALITY
19,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (1)_85.png'],N/A,37 WAINWRIGHT ST.
20,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (2)_1.png'],N/A,
21,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (2)_32.png'],N/A,Mirs
22,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (2)_80.png'],N/A,
23,"SCORE LESS THAN CUTOFF: 6,50,PROVIDENCE",['cd1945/entry/1945_Page_729 (3)_5.png'],6TH ST,Standard Rim & Wheel Co of RI 1106
24,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (3)_6.png'],N/A,N Main
25,"SCORE LESS THAN CUTOFF: -219 Broad tels. GAspee 1082-3-4-5,66.0,PROVIDENCE","['cd1945/entry/1945_Page_729 (3)_25.png', 'cd1945/entry/1945_Page_729 (3)_26.png']",GASPEE ST,MELLORS AUTO PARTS 217-219 Broad tels. GAspee 1082-3-4-5
26,"SCORE LESS THAN CUTOFF: Main, Pawtucket,73.0,PROVIDENCE","['cd1945/entry/1945_Page_729 (3)_31.png', 'cd1945/entry/1945_Page_729 (3)_32.png', 'cd1945/entry/1945_Page_729 (3)_33.png', 'cd1945/entry/1945_Page_729 (3)_34.png', 'cd1945/entry/1945_Page_729 (3)_35.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS, Frank Crook Inc 490 Main, Pawtucket tels PErry 4900 and Plantations 4900 For further information see page 4 Buyers Guide"
27,FAILED TO PARSE AN ADDRESS,"['cd1945/entry/1945_Page_729 (3)_71.png', 'cd1945/entry/1945_Page_729 (3)_72.png', 'cd1945/entry/1945_Page_729 (3)_73.png', 'cd1945/entry/1945_Page_729 (3)_74.png']",N/A,PALMER SPRING CO i Althea tel WEst 1375For further information see page 7 Buyers Guide and left bottom lines
28,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_729 (3)_81.png'],N/A,BUILDING BLOCKS
29,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_730 (1)_1.png'],N/A,
30,"SCORE LESS THAN CUTOFF: Main, Pawtucket,73.0,PROVIDENCE","['cd1945/entry/1945_Page_730 (1)_43.png', 'cd1945/entry/1945_Page_730 (1)_44.png', 'cd1945/entry/1945_Page_730 (1)_45.png', 'cd1945/entry/1945_Page_730 (1)_46.png', 'cd1945/entry/1945_Page_730 (1)_47.png']",PAWTUXET AV,"CHEVROLET MOTOR CARS, Frank Crook Ine 490 Main, Pawtucket tels PErry 4900 and PLantations 4900 For further information see page 4 Buyers Guide"
31,"SCORE LESS THAN CUTOFF: Main, Pawtucket,73.0,PROVIDENCE","['cd1945/entry/1945_Page_730 (1)_51.png', 'cd1945/entry/1945_Page_730 (1)_52.png', 'cd1945/entry/1945_Page_730 (1)_53.png', 'cd1945/entry/1945_Page_730 (1)_54.png']",PAWTUXET AV,"CROOK FRANK Ine (Chevrolet) 490 Main, Pawtucket tels PErry 4900 and PLantations 4900For further information see page 4 Buyers Guide"
32,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE","['cd1945/entry/1945_Page_730 (2)_1.png', 'cd1945/entry/1945_Page_730 (2)_2.png']",10TH ST,- 730
33,FAILED TO PARSE AN ADDRESS,['cd1945/entry/1945_Page_730 (2)_3.png'],N/A,Street | ll
34,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE",['cd1945/entry/1945_Page_730 (2)_4.png'],3RD ST,"""2253"
35,"SCORE LESS THAN CUTOFF: Main Pawtucket,73.0,PROVIDENCE","['cd1945/entry/1945_Page_730 (2)_28.png', 'cd1945/entry/1945_Page_730 (2)_29.png', 'cd1945/entry/1945_Page_730 (2)_30.png']",PAWTUXET AV,WINTERS WALTER Inc 483 Main Pawtucket tel PErry 2017 (Dodge- Plymouth cars and trucks)
36,FAILED TO PARSE AN ADDRESS,"['cd1945/entry/1945_Page_730 (3)_1.png', 'cd1945/entry/1945_Page_730 (3)_2.png', 'cd1945/entry/1945_Page_730 (3)_3.png', 'cd1945/entry/1945_Page_730 (3)_4.png']",N/A,
