,Index,Address,City,Company_Name,Conf_Score,File_List,Header,Text
0,4,8 WESTMINSTER ST,PROVIDENCE,"RTGAGE GUARANTEE & TITLE CO,",100.0,"['cd1960/entry/1960_Page_93 (1)_12.png', 'cd1960/entry/1960_Page_93 (1)_13.png']",ABSTRACTERS,"RTGAGE GUARANTEE & TITLE CO,
8 Westminster, Tel GAspee 1-3352 (See Yellow Page 78)"
1,5,922 INDUSTRIAL DR,PROVIDENCE,"Haskins & Sells,",83.5,"['cd1960/entry/1960_Page_93 (1)_16.png', 'cd1960/entry/1960_Page_93 (1)_17.png']",*ACCOUNTANTSCERTIFIED PUBLIC,"Haskins & Sells, 922 Industrial Bank Bldg, Tel UNion 1-0740"
2,18,11 WESTMINSTER ST,PROVIDENCE,Bogdan John P Co,90.5,['cd1960/entry/1960_Page_93 (1)_41.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Bogdan John P Co 11] Westminster R527
3,33,168 BROADWAY ST,PROVIDENCE,David Bennie A,100.0,['cd1960/entry/1960_Page_93 (2)_8.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,David Bennie A 168 Broadway
4,36,20 OLNEYVILLE SQ,PROVIDENCE,DiMuro & Associates,100.0,['cd1960/entry/1960_Page_93 (2)_11.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,DiMuro & Associates 20 Olneyville sq
5,71,32 WESTMINSTER ST,PROVIDENCE,Lane Warren C,96.0,['cd1960/entry/1960_Page_93 (2)_51.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Lane Warren C 32 Westminster 6th fl
6,90,154 FRANCIS AVE,PROVIDENCE,Norberg John H,100.0,['cd1960/entry/1960_Page_93 (3)_3.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Norberg John H 154 Francis
7,98,32 WESTMINSTER ST,PROVIDENCE,Pedorella Victor L,90.5,['cd1960/entry/1960_Page_93 (3)_12.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Pedorella Victor L 32 Westminster R403
8,130,168 BROADWAY ST,PROVIDENCE,Villatico Guy,100.0,['cd1960/entry/1960_Page_93 (3)_48.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Villatico Guy 168 Broadway
9,136,500 BROADWAY ST,PROVIDENCE,Zelano Joseph,100.0,['cd1960/entry/1960_Page_93 (3)_54.png'],ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,Zelano Joseph 500 Broadway
10,196,24 MASON AV,PROVIDENCE,Bernstein Bo & Co Inc,100.0,['cd1960/entry/1960_Page_94 (2)_30.png'],ADVERTISING COUNSEL and SERVICE,Bernstein Bo & Co Inc 24 Mason 4th fl
