,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_209 (1).chop_19.png'],N/A,"(See Schools, Colleges & Academies)"
1,"SCORE LESS THAN CUTOFF: Hospital Trust bidg 15 Westminster,74.5,PROVIDENCE","['cd1938/entry/1938_Page_209 (1).chop_32.png', 'cd1938/entry/1938_Page_209 (1).chop_33.png']",WESTMINSTER ST,OVER SPENCER H 836 Hospital Trust bidg 15 Westminster tel GA 5232
2,FAILED TO PARSE AN ADDRESS,"['cd1938/entry/1938_Page_209 (1).chop_35.png', 'cd1938/entry/1938_Page_209 (1).chop_36.png']",N/A,*Denotes Certified Public Account- ants
3,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_210 (1)_1.png'],N/A,210
4,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_210 (2)_1.png'],N/A,PROVIDENCE BUSINESS FINDER
5,EMPTY STREET,['cd1938/entry/1938_Page_210 (2)_66.png'],,Cycledrome ft White st
6,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_210 (3)_70.png'],N/A,Harvard Apartments
7,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE",['cd1938/entry/1938_Page_211 (2)_1.png'],I 95,FOR YEAR ENDING APRIL 1939
8,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_211 (2)_55.png'],N/A,(See also Well Drillers & Borers)
9,"SCORE LESS THAN CUTOFF: Blount,77,PROVIDENCE","['cd1938/entry/1938_Page_211 (2)_65.png', 'cd1938/entry/1938_Page_211 (2)_66.png']",BELMONT AVE,California Artificial Flower Co 14 Blount
10,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_211 (3)_1.png'],N/A,211
11,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_212 (1)_1.png'],N/A,212
12,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_212 (1)_44.png'],N/A,"Chamber of Commerce The, Market sq"
13,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE","['cd1938/entry/1938_Page_212 (1)_56.png', 'cd1938/entry/1938_Page_212 (1)_57.png']",I 95,"Jewelers Protective Association, Provi- dence-Biltmore Hotel rm 209"
14,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_212 (1)_58.png'],N/A,"Lions Club, Narragansett Hotel"
15,FAILED TO PARSE AN ADDRESS,"['cd1938/entry/1938_Page_212 (1)_65.png', 'cd1938/entry/1938_Page_212 (1)_66.png']",N/A,"Narragansett Racing Assn, Providence- Biltmore Hotel"
16,FAILED TO PARSE AN ADDRESS,"['cd1938/entry/1938_Page_212 (1)_80.png', 'cd1938/entry/1938_Page_212 (1)_81.png', 'cd1938/entry/1938_Page_212 (1)_82.png']",N/A,PROVIDENCE CHAMBERS OF COM- MERCE The Market sqSee back colored page X
17,FAILED TO PARSE AN ADDRESS,['cd1938/entry/1938_Page_212 (2)_1.png'],N/A,PROVIDENCE BUSINESS FINDER
18,"SCORE LESS THAN CUTOFF: Wash top fl,76,PROVIDENCE","['cd1938/entry/1938_Page_212 (2)_14.png', 'cd1938/entry/1938_Page_212 (2)_15.png']",WASHINGTON ST,Rhode Island Fish & Game Protective Association 63 Wash top fl
