,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_108 (1).chop_1.png'],N/A,
1,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_108 (1).chop_3.png'],N/A,
2,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_108 (1).chop_9.png'],N/A,
3,"SCORE LESS THAN CUTOFF: 5,53,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_16.png'],I 95,= RM 1025
4,"SCORE LESS THAN CUTOFF: 4,50,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_18.png'],4TH ST,2 RM 04
5,"SCORE LESS THAN CUTOFF: INDUSTRIAL BANK BLDG 111 WESTMINSTER, TEL,71.5,PROVIDENCE","['cd1966/entry/1966_Page_108 (1).chop_21.png', 'cd1966/entry/1966_Page_108 (1).chop_22.png']",WESTMINSTER ST,"YWRISTIANSEN & CO, 612 INDUSTRIAL BANK BLDG 111 WESTMINSTER, TEL"
6,"SCORE LESS THAN CUTOFF: -0609,29.0,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_23.png'],I 95,"a

a

421-0609"
7,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_108 (1).chop_25.png'],N/A,823
8,EMPTY STREET,"['cd1966/entry/1966_Page_108 (1).chop_27.png', 'cd1966/entry/1966_Page_108 (1).chop_28.png']",1702 ,"930
ERNST & ERNST, 1702 (NOUSTRIAL ""s BANK BLOG 111 WESTMINSTER, TEL"
9,"SCORE LESS THAN CUTOFF: -2910,50.5,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_29.png'],I 295,"x

421-2910"
10,"SCORE LESS THAN CUTOFF: 5,53,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_31.png'],I 95,"r

ST RM 925"
11,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_33.png'],1ST ST,RM 1401
12,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_39.png'],1ST ST,ac NIFF MARJORIE F MRS 111
13,EMPTY STREET,['cd1966/entry/1966_Page_108 (1).chop_40.png'],,4 WESTMINSTER ST RM 610
14,"SCORE LESS THAN CUTOFF: 1,50,PROVIDENCE",['cd1966/entry/1966_Page_108 (1).chop_50.png'],1ST ST,421-0501
15,EMPTY STREET,"['cd1966/entry/1966_Page_108 (1).chop_52.png', 'cd1966/entry/1966_Page_108 (1).chop_53.png']",,ELINKER SOL E SOO N MAIN ST ILVERMAN IRVING 111 WESTMINSTER ST
16,"SCORE LESS THAN CUTOFF: ARD, FISHER & CO, 2400 INDUSTRIAL,75.5,PROVIDENCE","['cd1966/entry/1966_Page_108 (1).chop_54.png', 'cd1966/entry/1966_Page_108 (1).chop_55.png']",INDUSTRIAL DR,"RM 828 ARD, FISHER & CO, 2400 INDUSTRIAL"
17,"SCORE LESS THAN CUTOFF: WESTMINSTER, TEL b 421-5768,79.5,PROVIDENCE","['cd1966/entry/1966_Page_108 (1).chop_56.png', 'cd1966/entry/1966_Page_108 (1).chop_57.png']",WESTMINSTER ST,"BANK BLOG 111 WESTMINSTER, TEL

b 421-5768"
18,"SCORE LESS THAN CUTOFF: / AMBRIFI MARIO S 573 ATWELLS AV ANDREONI LEO J 15 WESTMINSTER ST,67.5,PROVIDENCE","['cd1966/entry/1966_Page_108 (1).chop_65.png', 'cd1966/entry/1966_Page_108 (1).chop_66.png', 'cd1966/entry/1966_Page_108 (1).chop_67.png', 'cd1966/entry/1966_Page_108 (1).chop_68.png', 'cd1966/entry/1966_Page_108 (1).chop_69.png', 'cd1966/entry/1966_Page_108 (1).chop_70.png', 'cd1966/entry/1966_Page_108 (1).chop_71.png', 'cd1966/entry/1966_Page_108 (1).chop_72.png', 'cd1966/entry/1966_Page_108 (1).chop_73.png']",WESTMINSTER ST,",

1014 / AMBRIFI MARIO S 573 ATWELLS AV ANDREONI LEO J 15 WESTMINSTER ST RM 940 ERKOWITZ SAML M 86 WEYGOSSET ST RM  EVILACQUA & BEVILACQUA 237 POCASSET AV AKE HARVEY ACCOUNTING 1053 BROAD ST"
19,EMPTY STREET,"['cd1966/entry/1966_Page_108 (1).chop_74.png', 'cd1966/entry/1966_Page_108 (1).chop_75.png']",,",OROD AUDIT CO Si EMPIRE ST RM 605"
20,EMPTY STREET,"['cd1966/entry/1966_Page_108 (2).chop_32.png', 'cd1966/entry/1966_Page_108 (2).chop_33.png']",,FEOERICO MICHL T & CO S57 EDDY ST RM
21,"SCORE LESS THAN CUTOFF: LANOOR ST,72.5,PROVIDENCE",['cd1966/entry/1966_Page_108 (2).chop_36.png'],MILANO ST,FISH HOWARO 31 LANOOR ST
22,EMPTY STREET,"['cd1966/entry/1966_Page_108 (2).chop_52.png', 'cd1966/entry/1966_Page_108 (2).chop_53.png']",,K=-P AUDIT CO:111 WESTMINSTER ST RM
23,EMPTY STREET,['cd1966/entry/1966_Page_108 (3).chop_38.png'],,SPENCER MILTON K S1 HARRISON ST
24,EMPTY STREET,['cd1966/entry/1966_Page_108 (3).chop_49.png'],,ZELANO JOSEPH S00 BROADWAY ST
25,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_108 (3).chop_53.png'],N/A,
26,FAILED TO PARSE AN ADDRESS,"['cd1966/entry/1966_Page_109 (1)_5.png', 'cd1966/entry/1966_Page_109 (1)_6.png']",N/A,POLKRL&CO POLK BUILDING
27,FAILED TO PARSE AN ADDRESS,['cd1966/entry/1966_Page_109 (1)_8.png'],N/A,DETROIT
