,Index,Address,City,Company_Name,Conf_Score,File_List,Header,Text
0,4,2009 SMITH ST,PROVIDENCE,-Albanese Jr Assoc,94.5,['cd1980/entry/1980_Page_74 (1)_14.png'],ACCOUNTANTS,-Albanese Jr Assoc 2009c Smith St (N Prov)
1,7,32 WESTMINSTER ST,PROVIDENCE,Andreoni & Co,100.0,['cd1980/entry/1980_Page_74 (1)_17.png'],ACCOUNTANTS,Andreoni & Co 32 Westminster St Rm 201
2,10,1072 MINERAL SPRING AV,NORTH PROVIDENCE,Bagaglia A & A,100.0,"['cd1980/entry/1980_Page_74 (1)_20.png', 'cd1980/entry/1980_Page_74 (1)_21.png']",ACCOUNTANTS,Bagaglia A & A 1072 Mineral Spring Av(N Prov)
3,11,703 FRUIT HILL AVE,PROVIDENCE,Barone Norman A,100.0,['cd1980/entry/1980_Page_74 (1)_22.png'],ACCOUNTANTS,Barone Norman A 703 Fruit Hill Av (N Prov)
4,18,73 ALLEN AV,PROVIDENCE,Capobianco Paul,100.0,['cd1980/entry/1980_Page_74 (1)_29.png'],ACCOUNTANTS,Capobianco Paul 73 Allen Av (N Prov)
5,26,1410 MINERAL SPRING AV,NORTH PROVIDENCE,Di Chiara Michl W Rear,100.0,"['cd1980/entry/1980_Page_74 (1)_39.png', 'cd1980/entry/1980_Page_74 (1)_40.png']",ACCOUNTANTS,Di Chiara Michl W Rear 1410 Mineral Spring Av(N Prov)
6,36,1845 SMITH ST,PROVIDENCE,Ferrara R P & Co,100.0,"['cd1980/entry/1980_Page_74 (2)_13.png', 'cd1980/entry/1980_Page_74 (2)_14.png']",ACCOUNTANTSCONTD,Ferrara R P & Co 1845 Smith St (N Prov) Rm
7,48,347 MARVIN ST,PROVIDENCE,"Kaufman Miller & Company 147 Armistice Blvd,",84.0,"['cd1980/entry/1980_Page_74 (2)_26.png', 'cd1980/entry/1980_Page_74 (2)_27.png', 'cd1980/entry/1980_Page_74 (2)_28.png']",ACCOUNTANTSCONTD,"Kaufman Miller & Company 147 Armistice Blvd, 347 Main St (Pawtucket, R I; 02862), Tel 725-8300"
8,52,1243 MINERAL SPRING AV,NORTH PROVIDENCE,Latina Ralph A,100.0,"['cd1980/entry/1980_Page_74 (2)_32.png', 'cd1980/entry/1980_Page_74 (2)_33.png']",ACCOUNTANTSCONTD,Latina Ralph A 1243 Mineral Spring Av(N Prov)
9,56,438 BROADWAY ST,PROVIDENCE,Mardo Anthony & Co,100.0,['cd1980/entry/1980_Page_74 (2)_39.png'],ACCOUNTANTSCONTD,Mardo Anthony & Co 438 Broadway
10,57,1845 SMITH ST,PROVIDENCE,Masso Thos J,100.0,['cd1980/entry/1980_Page_74 (2)_40.png'],ACCOUNTANTSCONTD,Masso Thos J 1845 Smith St (N Prov) Rm 2
11,67,414 BROADWAY ST,PROVIDENCE,PATERRA J J & CO,100.0,"['cd1980/entry/1980_Page_74 (3)_4.png', 'cd1980/entry/1980_Page_74 (3)_5.png']",ACCOUNTANTSCONTD,"PATERRA J J & CO 414 Broadway (02909), Tel 331-2462"
12,71,1410 MINERAL SPRING AV,NORTH PROVIDENCE,Ratcliffe And Co Rear,94.0,"['cd1980/entry/1980_Page_74 (3)_10.png', 'cd1980/entry/1980_Page_74 (3)_11.png']",ACCOUNTANTSCONTD,Ratcliffe And Co Rear 1410 Minera] Spring Av(N Prov)
13,73,1480 MINERAL SPRING AV,NORTH PROVIDENCE,Ricapito Mich! P,100.0,"['cd1980/entry/1980_Page_74 (3)_14.png', 'cd1980/entry/1980_Page_74 (3)_15.png']",ACCOUNTANTSCONTD,Ricapito Mich! P 1480 Mineral Spring Av(N Prov)
14,81,1330 MINERAL SPRING AV,NORTH PROVIDENCE,Seplocha John J,100.0,"['cd1980/entry/1980_Page_74 (3)_25.png', 'cd1980/entry/1980_Page_74 (3)_26.png']",ACCOUNTANTSCONTD,Seplocha John J 1330 Mineral Spring Av(N Prov)
15,87,36 KENNEDY PLZ,PROVIDENCE,Tabulex,96.0,['cd1980/entry/1980_Page_74 (3)_33.png'],ACCOUNTANTSCONTD,Tabulex 36 Kennedy Plaza Rm 516
16,91,354 BROADWAY ST,PROVIDENCE,Accinno John J,100.0,['cd1980/entry/1980_Page_74 (3)_39.png'],ACCOUNTANTSCERTIFIED PUBLIC,Accinno John J 354 Broadway
17,100,480 BENEFIT ST,PROVIDENCE,Picchione Nicholas & Co,100.0,['cd1980/entry/1980_Page_75 (1)_14.png'],ACCOUNTANTSCERTIFIED PUBLIC CONTD,Picchione Nicholas & Co 480 Benefit St
18,104,60 BROADWAY ST,PROVIDENCE,Villatico Guy,83.0,['cd1980/entry/1980_Page_75 (1)_20.png'],ACCOUNTANTSCERTIFIED PUBLIC CONTD,Villatico Guy 60 Broadway Suite G
19,106,800 INDUSTRIAL DR,PROVIDENCE,Young Arthur & Company,83.5,"['cd1980/entry/1980_Page_75 (1)_23.png', 'cd1980/entry/1980_Page_75 (1)_24.png']",ACCOUNTANTSCERTIFIED PUBLIC CONTD,"Young Arthur & Company 800 Industrial Bank Bidg (02903), Tel 274-1800"
20,111,1991 SMITH ST,PROVIDENCE,Nappi Lou Adjustment Bureau,100.0,"['cd1980/entry/1980_Page_75 (1)_34.png', 'cd1980/entry/1980_Page_75 (1)_35.png']",ADJUSTERS,Nappi Lou Adjustment Bureau 1991 Smith St (N Prov)
21,142,36 KENNEDY PLZ,PROVIDENCE,Lorimer John A,96.0,['cd1980/entry/1980_Page_75 (1)_81.png'],ADVERTISING AGENCIES,Lorimer John A 36 Kennedy Plaza Rm 415
22,158,36 KENNEDY PLZ,PROVIDENCE,Baker W F Co Inc,96.0,['cd1980/entry/1980_Page_75 (2)_20.png'],ADVERTISINGDIRECT,Baker W F Co Inc 36 Kennedy Plaza Rm 206
23,178,1 WATERMAN AVE,PROVIDENCE,Diamond Home Specialities Co,100.0,"['cd1980/entry/1980_Page_75 (3)_3.png', 'cd1980/entry/1980_Page_75 (3)_4.png']",ALUMINUM PRODUCTS DEALERS,Diamond Home Specialities Co 1 Waterman Av (NP)
24,198,1414 ATWOOD AVE,PROVIDENCE,CAPITOL ANSWERING SERVICE,100.0,"['cd1980/entry/1980_Page_75 (3)_43.png', 'cd1980/entry/1980_Page_75 (3)_44.png', 'cd1980/entry/1980_Page_75 (3)_45.png', 'cd1980/entry/1980_Page_75 (3)_46.png']",*ANSWERING SERVICE,"CAPITOL ANSWERING SERVICE 1414 Atwood Av (WJohnston; 02919), Tels 521-5387 And 781-3848 (See Index To Advertisers)"
25,200,1361 MINERAL SPRING AV,NORTH PROVIDENCE,Antique Exchange,100.0,"['cd1980/entry/1980_Page_75 (3)_52.png', 'cd1980/entry/1980_Page_75 (3)_53.png']",ANTIQUESDEALERS AND RESTORERS,Antique Exchange 1361 Mineral Spring Av(N Prov)
26,202,196 PUTNAM PIKE,PROVIDENCE,APPLE VALLEY ANTIQUES,100.0,"['cd1980/entry/1980_Page_75 (3)_55.png', 'cd1980/entry/1980_Page_75 (3)_56.png', 'cd1980/entry/1980_Page_75 (3)_57.png']",ANTIQUESDEALERS AND RESTORERS,"APPLE VALLEY ANTIQUES 196 Putnam Pike (Rt 44), PO Box 72%, Johnston, RI (02919),"
27,204,54 GARDNER AV,PROVIDENCE,Chatalian Mitch,100.0,['cd1980/entry/1980_Page_75 (3)_59.png'],ANTIQUESDEALERS AND RESTORERS,Chatalian Mitch 54 Gardner Av (N Prov)
28,206,2051 SMITH ST,PROVIDENCE,Cottage Antiques,100.0,['cd1980/entry/1980_Page_75 (3)_61.png'],ANTIQUESDEALERS AND RESTORERS,Cottage Antiques 2051 Smith St (N Prov)
29,229,454 BROADWAY ST,PROVIDENCE,Armand Apartments,100.0,['cd1980/entry/1980_Page_76 (1)_16.png'],APARTMENTS AND TOWN HOUSES,Armand Apartments 454 Broadway
30,248,235 BROADWAY ST,PROVIDENCE,Broadway Apartments,100.0,['cd1980/entry/1980_Page_76 (1)_36.png'],APARTMENTS AND TOWN HOUSES,Broadway Apartments 235 Broadway
31,252,2072 SMITH ST,PROVIDENCE,Brook Village (Winn Management),100.0,"['cd1980/entry/1980_Page_76 (1)_40.png', 'cd1980/entry/1980_Page_76 (1)_41.png']",APARTMENTS AND TOWN HOUSES,Brook Village (Winn Management) 2072 Smith St (N Prov)
32,309,1090 MINERAL SPRING AV,NORTH PROVIDENCE,Ferland Apartments,100.0,"['cd1980/entry/1980_Page_76 (2)_19.png', 'cd1980/entry/1980_Page_76 (2)_20.png']",APARTMENTS AND TOWN HOUSES CONTD,Ferland Apartments 1090 Mineral Spring Av(N Prov)
33,317,1621 SMITH ST,PROVIDENCE,Fruit Hill Apts,100.0,['cd1980/entry/1980_Page_76 (2)_30.png'],APARTMENTS AND TOWN HOUSES CONTD,Fruit Hill Apts 1621 Smith St (N Prov)
34,323,1701 SMITH ST,PROVIDENCE,Granada Apts,100.0,['cd1980/entry/1980_Page_76 (2)_36.png'],APARTMENTS AND TOWN HOUSES CONTD,Granada Apts 1701 Smith St (N Prov)
35,329,1363 SMITH ST,PROVIDENCE,Hamilton House,100.0,['cd1980/entry/1980_Page_76 (2)_43.png'],APARTMENTS AND TOWN HOUSES CONTD,Hamilton House 1363 Smith St (N Prov)
36,334,7 BROWNELL ST,PROVIDENCE,Hillcrest Apartments,100.0,['cd1980/entry/1980_Page_76 (2)_48.png'],APARTMENTS AND TOWN HOUSES CONTD,Hillcrest Apartments 7 Brownell St
37,337,1370 SMITH ST,PROVIDENCE,Jane-Mor Apartments,100.0,['cd1980/entry/1980_Page_76 (2)_51.png'],APARTMENTS AND TOWN HOUSES CONTD,Jane-Mor Apartments 1370 Smith St (N Prov)
38,345,1624 MINERAL SPRING AV,NORTH PROVIDENCE,Linmor Apartments,100.0,"['cd1980/entry/1980_Page_76 (2)_60.png', 'cd1980/entry/1980_Page_76 (2)_61.png']",APARTMENTS AND TOWN HOUSES CONTD,Linmor Apartments 1624 Mineral Spring Av(N Prov)
39,377,1803 MINERAL SPRING AV,NORTH PROVIDENCE,North View Apartments,100.0,"['cd1980/entry/1980_Page_76 (2)_93.png', 'cd1980/entry/1980_Page_76 (2)_94.png']",APARTMENTS AND TOWN HOUSES CONTD,North View Apartments 1803 Mineral Spring Av(N Prov)
40,386,485 BROADWAY ST,PROVIDENCE,Park Lane Apartments,100.0,['cd1980/entry/1980_Page_76 (3)_9.png'],APARTMENTS AND TOWN HOUSES CONTD,Park Lane Apartments 485 Broadway
41,403,60 BROADWAY ST,PROVIDENCE,Regency Apartments The,100.0,['cd1980/entry/1980_Page_76 (3)_27.png'],APARTMENTS AND TOWN HOUSES CONTD,Regency Apartments The 60 Broadway
42,434,242 WATERMAN AVE,PROVIDENCE,Waterman Avenue Apartments,100.0,"['cd1980/entry/1980_Page_76 (3)_70.png', 'cd1980/entry/1980_Page_76 (3)_71.png']",APARTMENTS AND TOWN HOUSES CONTD,Waterman Avenue Apartments 242 Waterman Av (NP)
43,444,170 WATERMAN AVE,PROVIDENCE,Whitehall Apartments (Harwol Properties),100.0,"['cd1980/entry/1980_Page_76 (3)_84.png', 'cd1980/entry/1980_Page_76 (3)_85.png']",APARTMENTS AND TOWN HOUSES CONTD,Whitehall Apartments (Harwol Properties) 170 Waterman Av (NP)
