,Drop_Reason,File_List,Street,Text
0,ERROR IN STREET MATCHING,['cd1970/entry/1970_Page_1 (1)_29.png'],"02903),","(02903), Tel 421-2742"
1,FAILED TO PARSE AN ADDRESS,['cd1970/entry/1970_Page_1 (1)_51.png'],N/A,"Laventhol, Krekstein, Horwath &"
2,ERROR IN STREET MATCHING,['cd1970/entry/1970_Page_1 (2)_18.png'],"02903),","(02903), Tel 421-5768"
3,FAILED TO PARSE AN ADDRESS,['cd1970/entry/1970_Page_2 (1)_1.png'],N/A,ADJUSTERSContd
4,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE",['cd1970/entry/1970_Page_2 (1)_44.png'],I 95,.Nolan Charles W Advertising Inc 189
5,FAILED TO PARSE AN ADDRESS,['cd1970/entry/1970_Page_2 (1)_45.png'],N/A,Mathewson St Rm 1
6,FAILED TO PARSE AN ADDRESS,"['cd1970/entry/1970_Page_2 (1)_70.png', 'cd1970/entry/1970_Page_2 (1)_71.png']",N/A,POLK RL&CO POLK BUILDING
7,FAILED TO PARSE AN ADDRESS,['cd1970/entry/1970_Page_2 (1)_72.png'],N/A,431 HOWARD STREET
8,"SCORE LESS THAN CUTOFF: & TV 10,43.0,PROVIDENCE","['cd1970/entry/1970_Page_2 (2)_17.png', 'cd1970/entry/1970_Page_2 (2)_18.png', 'cd1970/entry/1970_Page_2 (2)_19.png']",TEVERE DR,W JAR RADIO 920 & TV 10 (THE OUTLET COMPANY) 176 WEYBOSSET STREET (02903)
9,"SCORE LESS THAN CUTOFF: -9200,29.0,PROVIDENCE","['cd1970/entry/1970_Page_2 (2)_20.png', 'cd1970/entry/1970_Page_2 (2)_21.png']",I 95,TELEPHONE 861-9200
10,FAILED TO PARSE AN ADDRESS,['cd1970/entry/1970_Page_2 (2)_33.png'],N/A,Advertisers)
11,"SCORE LESS THAN CUTOFF: -8800,29.0,PROVIDENCE","['cd1970/entry/1970_Page_2 (2)_45.png', 'cd1970/entry/1970_Page_2 (2)_46.png']",8TH ST,TELEPHONE 831-8800 (See Index To Advertisers)
12,EMPTY STREET,"['cd1970/entry/1970_Page_2 (3)_4.png', 'cd1970/entry/1970_Page_2 (3)_5.png', 'cd1970/entry/1970_Page_2 (3)_6.png']",300 ,"St, R300 (02903), Export Dept Tel 831-1800"
