,Drop_Reason,File_List,Street,Text
0,"SCORE LESS THAN CUTOFF: Westminster Rooms 613-19 Cofman Morris & Associates 111 Westminster R816,63.5,PROVIDENCE","['cd1956/entry/1956_Page_145 (1)_57.png', 'cd1956/entry/1956_Page_145 (1)_58.png']",WESTMINSTER ST,"Clegg Geo B 49 Westminster Rooms 613-19
Cofman Morris & Associates 111 West- minster R816"
1,"SCORE LESS THAN CUTOFF: Eddy R712B,40.0,PROVIDENCE",['cd1956/entry/1956_Page_145 (2)_10.png'],DERBY AVE,Federal Tax Service 57 Eddy R712B
2,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_145 (3)_1.png'],N/A,ACCOUNTANTSPUBLIC Contd
3,"SCORE LESS THAN CUTOFF: -4436,29.0,PROVIDENCE","['cd1956/entry/1956_Page_146 (1)_3.png', 'cd1956/entry/1956_Page_146 (1)_4.png']",3RD ST,GAspee 1-4436 (See Yellow Page 88 and right top lines)
4,"SCORE LESS THAN CUTOFF: HOWARD DETROIT 31, MICHIGAN,73.5,PROVIDENCE","['cd1956/entry/1956_Page_146 (1)_5.png', 'cd1956/entry/1956_Page_146 (1)_6.png', 'cd1956/entry/1956_Page_146 (1)_7.png']",MICHIGAN AVE,"POLK RL&CO 431 HOWARD DETROIT 31, MICHIGAN"
5,"SCORE LESS THAN CUTOFF: MAIN. PAWTUCKET,,73.0,PROVIDENCE","['cd1956/entry/1956_Page_146 (2)_15.png', 'cd1956/entry/1956_Page_146 (2)_16.png', 'cd1956/entry/1956_Page_146 (2)_17.png']",PAWTUXET AV,"DUPUIS FRANK COMPANY, 599 MAIN. PAWTUCKET, TEL PAwtucket 2-0800 (See Yellow Page 45)"
6,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_146 (2)_34.png'],N/A,Eastern Air Lines Sheraton-Biltmore Hotel
7,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_146 (2)_35.png'],N/A,United Air Lines Sheraton- Biltmore
8,"SCORE LESS THAN CUTOFF: SHERATON-BILTMORE HOTEL and,60.5,PROVIDENCE",['cd1956/entry/1956_Page_146 (2)_60.png'],SHERMAN AVE,"NARRAGANSETT RACING ASSN INC, 131
SHERATON-BILTMORE HOTEL and
49 MANTON, PAWTUCKET"
9,"SCORE LESS THAN CUTOFF: MANTON PAWTUCKET,70.0,PROVIDENCE",['cd1956/entry/1956_Page_146 (2)_60.png'],PAWTUXET AV,"NARRAGANSETT RACING ASSN INC, 131
SHERATON-BILTMORE HOTEL and
49 MANTON, PAWTUCKET"
10,"SCORE LESS THAN CUTOFF: WATERMAN av, EAST PROV, TEL GEneva 4-6700,67.0,PROVIDENCE",['cd1956/entry/1956_Page_146 (2)_63.png'],WATERMAN ST,"PHOENIX MUTUAL LIFE INSURANCE co,
312 WATERMAN av, EAST PROV, TEL
GEneva 4-6700 (See Yellow Page $6)"
11,"SCORE LESS THAN CUTOFF: -2672,29.0,PROVIDENCE",['cd1956/entry/1956_Page_146 (2)_64.png'],2ND ST,"*ANNUITIESLIFE INSURANCE
MASSACHUSETTS MUTUAL LIFE INSUR-
ANCE CO, TURKS HEAD BLDG, TEL
GAspee 1-2672 (See Yellow Page 50 and
left top lines)"
12,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_146 (3)_1.png'],N/A,ANODIZING Contd
13,"SCORE LESS THAN CUTOFF: Burrill,73,PROVIDENCE",['cd1956/entry/1956_Page_146 (3)_24.png'],RILL ST,Central Apartments 21 Burrill
14,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_147 (1)_1.png'],N/A,APARTMENT BUILDINGSContd
15,"SCORE LESS THAN CUTOFF: MAIN, PAWTUCKET.,73.0,PROVIDENCE","['cd1956/entry/1956_Page_147 (1)_73.png', 'cd1956/entry/1956_Page_147 (1)_74.png', 'cd1956/entry/1956_Page_147 (1)_75.png', 'cd1956/entry/1956_Page_147 (1)_76.png']",PAWTUXET AV,"GALLAGHER MATTHEW J AGENCY INC. 347 MAIN, PAWTUCKET. TEL PAwtucket 3-1290. BLACKSTONE VALLEY and ATTLEBOROS"
16,"SCORE LESS THAN CUTOFF: HOSPITAL TRUST BLDG 15 WESTMINSTER.,74.5,PROVIDENCE","['cd1956/entry/1956_Page_147 (1)_80.png', 'cd1956/entry/1956_Page_147 (1)_81.png', 'cd1956/entry/1956_Page_147 (1)_82.png']",WESTMINSTER ST,"HURLEY RICHARD A. 723 HOSPITAL TRUST BLDG 15 WESTMINSTER. TEL GAspee 1-7210 (See Yellow Page 95 and
left side lines)"
17,"SCORE LESS THAN CUTOFF: -0824 1-8234,27.0,PROVIDENCE","['cd1956/entry/1956_Page_147 (2)_3.png', 'cd1956/entry/1956_Page_147 (2)_4.png']",I 295,GAspee 1-0824 and 1-8234 (See Yellow Page 57)
18,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_147 (2)_8.png'],N/A,
19,"SCORE LESS THAN CUTOFF: Geo M Cohan blvd,54.5,PROVIDENCE",['cd1956/entry/1956_Page_147 (2)_42.png'],GEORGE M COHAN BLVD,Markoff Henry W 271 Geo M Cohan blvd
20,"SCORE LESS THAN CUTOFF: Hewes,73.0,PROVIDENCE",['cd1956/entry/1956_Page_147 (2)_46.png'],HAWKES ST,Nationwide House Plan Service 17 Hewes
21,FAILED TO PARSE AN ADDRESS,['cd1956/entry/1956_Page_147 (3)_1.png'],N/A,ARTISTSContd
22,FAILED TO PARSE AN ADDRESS,"['cd1956/entry/1956_Page_147 (3)_61.png', 'cd1956/entry/1956_Page_147 (3)_62.png', 'cd1956/entry/1956_Page_147 (3)_63.png']",N/A,"GAMMINO M A CONSTRUCTION CO. INC. ERNEST STREET, TEL STuart 1-5130 (See Yellow Page 30)"
23,"SCORE LESS THAN CUTOFF: WEYBOSSET, TEL GAspee 1-8390,75.0,PROVIDENCE","['cd1956/entry/1956_Page_147 (3)_77.png', 'cd1956/entry/1956_Page_147 (3)_78.png']",WEYBOSSET ST,"BETTER BUSINESS BUREAU OF PROVIDENCE, 248 WEYBOSSET, TEL
GAspee 1-8390 (See Yellow Page 18)"
24,"SCORE LESS THAN CUTOFF: TURKS HEAD BLDG 76 WESTMINSTER.,77.0,PROVIDENCE","['cd1956/entry/1956_Page_148 (1)_3.png', 'cd1956/entry/1956_Page_148 (1)_4.png', 'cd1956/entry/1956_Page_148 (1)_5.png']",WESTMINSTER ST,"JEWELERS BOARD OF TRADE THE, 413 TURKS HEAD BLDG 76 WESTMINSTER. TEL DExter 1-5045"
