,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1980/entry/1980_Page_74 (1)_1.png', 'cd1980/entry/1980_Page_74 (1)_2.png']",N/A,
1,"SCORE LESS THAN CUTOFF: Broadway Della Ventura Gaetano 30 Weeden St,70.5,PROVIDENCE",['cd1980/entry/1980_Page_74 (1)_36.png'],BROADWAY ST,"David Bennie A 168 Broadway
Della Ventura Gaetano 30 Weeden St"
2,"SCORE LESS THAN CUTOFF: Howard Bldg,76,PROVIDENCE",['cd1980/entry/1980_Page_74 (3)_28.png'],NORTH HOWARD AVE,Sholes Andrew G 606 Howard Bldg
3,EMPTY STREET,"['cd1980/entry/1980_Page_74 (3)_41.png', 'cd1980/entry/1980_Page_74 (3)_42.png', 'cd1980/entry/1980_Page_74 (3)_43.png']",,"ARTHUR YOUNG & COMPANY 800 Industrial Bank Bldg (02903), Tel 274- 1800"
4,"SCORE LESS THAN CUTOFF: Hospital Trust Tower,78,PROVIDENCE","['cd1980/entry/1980_Page_75 (1)_7.png', 'cd1980/entry/1980_Page_75 (1)_8.png']",HOSPITAL ST,"Deloitte Haskins & Sells 1501 Hospital Trust Tower (02903), Tel 861-0740"
5,"SCORE LESS THAN CUTOFF: Howard Bldg,76,PROVIDENCE","['cd1980/entry/1980_Page_75 (1)_41.png', 'cd1980/entry/1980_Page_75 (1)_42.png']",NORTH HOWARD AVE,Underwriters Adjusting Co 630 Howard Bldg
6,FAILED TO PARSE AN ADDRESS,['cd1980/entry/1980_Page_75 (2)_19.png'],N/A,
7,FAILED TO PARSE AN ADDRESS,['cd1980/entry/1980_Page_75 (2)_48.png'],N/A,Alleghany Airlines Howard Bldg
8,FAILED TO PARSE AN ADDRESS,['cd1980/entry/1980_Page_75 (2)_49.png'],N/A,American Airlines Howard Bldg
9,FAILED TO PARSE AN ADDRESS,['cd1980/entry/1980_Page_75 (3)_11.png'],N/A,
10,"SCORE LESS THAN CUTOFF: Woonas Ave,73.5,PROVIDENCE",['cd1980/entry/1980_Page_75 (3)_40.png'],POMONA AVE,R I Anodizing Inc 184 Woonas Av (N Prov)
11,EMPTY STREET,"['cd1980/entry/1980_Page_75 (3)_47.png', 'cd1980/entry/1980_Page_75 (3)_48.png']",,"GIRL FRIDAY SERVICES 719 Industrial Bank Bldg (02903), Tel 421-0401"
