,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1954/entry/1954_Page_1 (1)_31.png', 'cd1954/entry/1954_Page_1 (1)_32.png']",N/A,*Denotes Certified Public Account- ants
1,FAILED TO PARSE AN ADDRESS,['cd1954/entry/1954_Page_2 (1)_1.png'],N/A,
2,FAILED TO PARSE AN ADDRESS,['cd1954/entry/1954_Page_2 (1)_6.png'],N/A,"Accountants, PublicCon"
3,"SCORE LESS THAN CUTOFF: Canal room 401,76.5,PROVIDENCE","['cd1954/entry/1954_Page_2 (2)_63.png', 'cd1954/entry/1954_Page_2 (2)_64.png']",CANAL ST,General Adjustment Bureau Ine 31 Ca- nal room 401 (insurance)
4,"SCORE LESS THAN CUTOFF: Lincoln Boston, Mass,77.0,PROVIDENCE","['cd1954/entry/1954_Page_2 (3)_17.png', 'cd1954/entry/1954_Page_2 (3)_18.png', 'cd1954/entry/1954_Page_2 (3)_19.png']",LINCOLN AVE,"POLK RL & CO District Office 179 Lincoln Boston, Mass tel HAncock 6-6309"
5,"SCORE LESS THAN CUTOFF: 9,53.5,PROVIDENCE",['cd1954/entry/1954_Page_3 (1)_36.png'],I 95,@ rm 519
6,"SCORE LESS THAN CUTOFF: Main Pawtucket,73,PROVIDENCE","['cd1954/entry/1954_Page_3 (1)_58.png', 'cd1954/entry/1954_Page_3 (1)_59.png', 'cd1954/entry/1954_Page_3 (1)_60.png']",PAWTUXET AV,DUPUIS FRANK COMPANY 599 Main Pawtucket tel PAwtucket 2-0800 See page 93 Buyers Guide
7,FAILED TO PARSE AN ADDRESS,"['cd1954/entry/1954_Page_3 (2)_4.png', 'cd1954/entry/1954_Page_3 (2)_5.png']",N/A,"Eastern Air Lines, Sheraton-Biltmore Hotel"
8,"SCORE LESS THAN CUTOFF: Sheraton-Biltmore,65.0,PROVIDENCE","['cd1954/entry/1954_Page_3 (2)_6.png', 'cd1954/entry/1954_Page_3 (2)_7.png']",SHERMAN AVE,United Air Lines 111 Westminster rm 1220 and Sheraton-Biltmore
9,"SCORE LESS THAN CUTOFF: Sheraton-Biltmore Hotel,60.0,PROVIDENCE","['cd1954/entry/1954_Page_3 (2)_45.png', 'cd1954/entry/1954_Page_3 (2)_46.png', 'cd1954/entry/1954_Page_3 (2)_47.png']",SHERMAN AVE,NARRAGANSETT RACING ASSN Inc 131 Sheraton-Biltmore Hotel and 49 Manton Pawtucket
10,"SCORE LESS THAN CUTOFF: Manton Pawtucket,70.0,PROVIDENCE","['cd1954/entry/1954_Page_3 (2)_45.png', 'cd1954/entry/1954_Page_3 (2)_46.png', 'cd1954/entry/1954_Page_3 (2)_47.png']",PAWTUXET AV,NARRAGANSETT RACING ASSN Inc 131 Sheraton-Biltmore Hotel and 49 Manton Pawtucket
11,FAILED TO PARSE AN ADDRESS,"['cd1954/entry/1954_Page_3 (2)_55.png', 'cd1954/entry/1954_Page_3 (2)_56.png', 'cd1954/entry/1954_Page_3 (2)_57.png', 'cd1954/entry/1954_Page_3 (2)_58.png']",N/A,"MASSACHUSETTS MUTUAL LIFE IN- SURANCE CoO, Turks Head bldg tel GAsee 1-2672See page 53 Buyers Guide and left top lines"
12,FAILED TO PARSE AN ADDRESS,['cd1954/entry/1954_Page_3 (3)_1.png'],N/A,Rowley Construction Co.
13,FAILED TO PARSE AN ADDRESS,"['cd1954/entry/1954_Page_3 (3)_5.png', 'cd1954/entry/1954_Page_3 (3)_6.png']",N/A,"260 Central Ave., Pawtucket, R. I. Telephone PA wtucket 5-4600"
14,"SCORE LESS THAN CUTOFF: Burrill,73,PROVIDENCE",['cd1954/entry/1954_Page_3 (3)_47.png'],RILL ST,Central Apartments 21 Burrill
