,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1985/entry/1985_Page_104 (1).chop_1.png'],N/A,
1,EMPTY STREET,"['cd1985/entry/1985_Page_104 (1).chop_4.png', 'cd1985/entry/1985_Page_104 (1).chop_5.png', 'cd1985/entry/1985_Page_104 (1).chop_6.png']",,1411 Broad St (02905) Tel 781-6282  ACCOUNTANTS
2,"SCORE LESS THAN CUTOFF: 0,40,PROVIDENCE",['cd1985/entry/1985_Page_104 (1).chop_8.png'],10TH ST,Ray 210
3,FAILED TO PARSE AN ADDRESS,['cd1985/entry/1985_Page_104 (2).chop_1.png'],N/A,
4,"SCORE LESS THAN CUTOFF: Wendi Dr,68.0,PROVIDENCE",['cd1985/entry/1985_Page_104 (2).chop_14.png'],GESMONDI DR,Gada Manilal R 16 Wendi Dr (NP)
5,"SCORE LESS THAN CUTOFF: Armistice Blvd,61.0,PROVIDENCE","['cd1985/entry/1985_Page_104 (2).chop_24.png', 'cd1985/entry/1985_Page_104 (2).chop_25.png', 'cd1985/entry/1985_Page_104 (2).chop_26.png', 'cd1985/entry/1985_Page_104 (2).chop_27.png']",HARBORSIDE BLVD,"KAUFMAN MILLER & COMPANY LTD 147 Armistice Blvd (Pawtucket, R I; 02862), Tel 725- 8300"
6,"SCORE LESS THAN CUTOFF: th Fl,65,PROVIDENCE","['cd1985/entry/1985_Page_104 (2).chop_33.png', 'cd1985/entry/1985_Page_104 (2).chop_34.png']",4TH ST,Laventhol & Horwath One Hosp Trust Plaza 7th Fl
7,FAILED TO PARSE AN ADDRESS,['cd1985/entry/1985_Page_105 (1)_1.png'],N/A,
8,"SCORE LESS THAN CUTOFF: FLEET NATIONAL BANK,56.5,PROVIDENCE","['cd1985/entry/1985_Page_105 (1)_13.png', 'cd1985/entry/1985_Page_105 (1)_14.png']",STATION ST,YOUNG ARTHUR 800 FLEET NATIONAL BANK
9,ERROR IN STREET MATCHING,"['cd1985/entry/1985_Page_105 (1)_16.png', 'cd1985/entry/1985_Page_105 (1)_17.png']",02903),PROVIDENCE RI (02903) TELEPHONE 274-1800
