,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,"['cd1946/entry/1946_Page_737 (1)_12.png', 'cd1946/entry/1946_Page_737 (1)_13.png']",N/A,"American Emery Wheel Works, Rich- mond sq"
1,FAILED TO PARSE AN ADDRESS,['cd1946/entry/1946_Page_737 (2)_2.png'],N/A,*Denotes Certified Public Accountants
2,FAILED TO PARSE AN ADDRESS,['cd1946/entry/1946_Page_738 (1).chop_1.png'],N/A,Accountants & AuditorsCon
3,"SCORE LESS THAN CUTOFF: Canal, 26 N Main,74.0,PROVIDENCE","['cd1946/entry/1946_Page_738 (1).chop_31.png', 'cd1946/entry/1946_Page_738 (1).chop_32.png', 'cd1946/entry/1946_Page_738 (1).chop_33.png', 'cd1946/entry/1946_Page_738 (1).chop_34.png', 'cd1946/entry/1946_Page_738 (1).chop_35.png']",CANAL WALK,"MORRIS PLAN BANK OF RHODE IS- LAND The 25 Canal, 26 N Main tel DExter 9800 and 30 Olneyville sq For further information see page 18 Buyers Guide and left side lines"
4,"SCORE LESS THAN CUTOFF: Westminster 4th fi, business office 17 Warren,70.0,PROVIDENCE","['cd1946/entry/1946_Page_738 (2).chop_6.png', 'cd1946/entry/1946_Page_738 (2).chop_7.png', 'cd1946/entry/1946_Page_738 (2).chop_8.png']",WESTMINSTER ST,"Money-Meters Inc exee office 204 West- minster 4th fi, business office 17 Warren"
5,"SCORE LESS THAN CUTOFF: For further information see page,51.5,PROVIDENCE","['cd1946/entry/1946_Page_738 (2).chop_14.png', 'cd1946/entry/1946_Page_738 (2).chop_15.png', 'cd1946/entry/1946_Page_738 (2).chop_16.png', 'cd1946/entry/1946_Page_738 (2).chop_17.png', 'cd1946/entry/1946_Page_738 (2).chop_18.png']",NORMAN DR,OFFICE APPLIANCE CO The Dist R C Allen adding machines 18 Custom House st telsGAspee 3817 and 6375 For further information see page 131 Buyers Guide
6,"SCORE LESS THAN CUTOFF: For further information see page,51.5,PROVIDENCE","['cd1946/entry/1946_Page_738 (2).chop_14.png', 'cd1946/entry/1946_Page_738 (2).chop_15.png', 'cd1946/entry/1946_Page_738 (2).chop_16.png', 'cd1946/entry/1946_Page_738 (2).chop_17.png', 'cd1946/entry/1946_Page_738 (2).chop_18.png']",NORMAN DR,OFFICE APPLIANCE CO The Dist R C Allen adding machines 18 Custom House st telsGAspee 3817 and 6375 For further information see page 131 Buyers Guide
7,"SCORE LESS THAN CUTOFF: Buyers Guide,63.5,PROVIDENCE","['cd1946/entry/1946_Page_738 (2).chop_14.png', 'cd1946/entry/1946_Page_738 (2).chop_15.png', 'cd1946/entry/1946_Page_738 (2).chop_16.png', 'cd1946/entry/1946_Page_738 (2).chop_17.png', 'cd1946/entry/1946_Page_738 (2).chop_18.png']",BURNSIDE ST,OFFICE APPLIANCE CO The Dist R C Allen adding machines 18 Custom House st telsGAspee 3817 and 6375 For further information see page 131 Buyers Guide
8,"SCORE LESS THAN CUTOFF: Old Colony House 58 Weybosset,73.5,PROVIDENCE","['cd1946/entry/1946_Page_738 (2).chop_64.png', 'cd1946/entry/1946_Page_738 (2).chop_65.png']",WEYBOSSET ST,MILLER DWIGHT 503 Old Colony House 58 Weybosset tel UNion 2071
9,"SCORE LESS THAN CUTOFF: 3,50.0,PROVIDENCE","['cd1946/entry/1946_Page_738 (3).chop_13.png', 'cd1946/entry/1946_Page_738 (3).chop_14.png']",3RD ST,"Weston Franklin W, Prov-Biltmore rm 133"
10,"SCORE LESS THAN CUTOFF: Broad te GAspee 4541For further inform tion see page 132 Buyers Guide,33.0,PROVIDENCE","['cd1946/entry/1946_Page_738 (3).chop_66.png', 'cd1946/entry/1946_Page_738 (3).chop_67.png', 'cd1946/entry/1946_Page_738 (3).chop_68.png']",FOREST VIEW DR,BUCKLEY & SCOTT Inc 137 Broad te GAspee 4541For further inform tion see page 132 Buyers Guide
11,EMPTY STREET,['cd1946/entry/1946_Page_739 (2)_27.png'],,Alden The.90 Taft av
12,"SCORE LESS THAN CUTOFF: -185 Bene fit,73.5,PROVIDENCE","['cd1946/entry/1946_Page_739 (2)_51.png', 'cd1946/entry/1946_Page_739 (2)_52.png']",BENEFIT ST,Colonial Apartments Inc 173-185 Bene fit
13,"SCORE LESS THAN CUTOFF: -12-16 Pertland,76.0,PROVIDENCE",['cd1946/entry/1946_Page_739 (2)_74.png'],PORTLAND ST,Feldman Apartments 8-12-16 Pertland
14,"SCORE LESS THAN CUTOFF: -110-119-138 Benefit,77.0,PROVIDENCE","['cd1946/entry/1946_Page_739 (2)_76.png', 'cd1946/entry/1946_Page_739 (2)_77.png']",BENEFIT ST,Fraser Apartments 34-110-119-138 Bene- fit
