,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (1)_12.png'],N/A,AbrasivesMirs
1,FAILED TO PARSE AN ADDRESS,"['cd1948/entry/1948_Page_753 (1)_13.png', 'cd1948/entry/1948_Page_753 (1)_14.png']",N/A,"American Emery Wheel Works, Rich- mond sq"
2,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (1)_16.png'],N/A,MORTGAGE GUARANTEE & TITLE
3,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (1)_27.png'],N/A,"(See Schools, Colleges & Acade-"
4,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (1)_28.png'],N/A,mies)
5,FAILED TO PARSE AN ADDRESS,"['cd1948/entry/1948_Page_753 (1)_31.png', 'cd1948/entry/1948_Page_753 (1)_32.png', 'cd1948/entry/1948_Page_753 (1)_33.png', 'cd1948/entry/1948_Page_753 (1)_34.png']",N/A,"_ Bidg tel Union 0740
Ward. Fisher & Co 2400 Industrial Trust bldg 111 Westminster tel Gas- pee 5768 * AccountantsChartered"
6,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (2)_2.png'],N/A,* denotes Certified Public Accountants
7,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_753 (2)_38.png'],N/A,621
8,"SCORE LESS THAN CUTOFF: Westminster rms 613 to 620,79.5,PROVIDENCE","['cd1948/entry/1948_Page_753 (2)_39.png', 'cd1948/entry/1948_Page_753 (2)_40.png']",WESTMINSTER ST,*Clegg Geo B jr 49 Westminster rms 613 to 620
9,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_754 (1)_1.png'],N/A,
10,"SCORE LESS THAN CUTOFF: BUYERS GUIDE,63.5,PROVIDENCE",['cd1948/entry/1948_Page_754 (1)_4.png'],BURNSIDE ST,SEE AD PAGE 134 BUYERS GUIDE
11,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_754 (1)_5.png'],N/A,Accountants & AuditorsCon
12,"SCORE LESS THAN CUTOFF: Canal, 26 N Main,74.0,PROVIDENCE","['cd1948/entry/1948_Page_754 (2)_37.png', 'cd1948/entry/1948_Page_754 (2)_38.png', 'cd1948/entry/1948_Page_754 (2)_39.png', 'cd1948/entry/1948_Page_754 (2)_40.png', 'cd1948/entry/1948_Page_754 (2)_41.png', 'cd1948/entry/1948_Page_754 (2)_42.png', 'cd1948/entry/1948_Page_754 (2)_43.png', 'cd1948/entry/1948_Page_754 (2)_44.png']",CANAL WALK,"PLANTATIONS BANK OF RHODE IS- LAND 25 Canal, 26 N Main tel DEx- ter 9800, 61 Weybosset tel GAspee 2116 and 30 Olneyville sqFor fur- ther information see pages 25 and 26 Buyers Guide, left side lines and front cover"
13,"SCORE LESS THAN CUTOFF: , Georgiaville, RI,69.0,PROVIDENCE","['cd1948/entry/1948_Page_754 (2)_50.png', 'cd1948/entry/1948_Page_754 (2)_51.png', 'cd1948/entry/1948_Page_754 (2)_52.png', 'cd1948/entry/1948_Page_754 (2)_53.png']",GEORGIA AVE,"ECONOMY CESSPOOL CLEANERS, PO Box 95, Georgiaville, RI tel Cen- tredale 0982For further informa- tion see page 45 Buyers Guide"
14,FAILED TO PARSE AN ADDRESS,['cd1948/entry/1948_Page_754 (2)_58.png'],N/A,
15,"SCORE LESS THAN CUTOFF: Hanover Boston 13, Mass,74.0,PROVIDENCE","['cd1948/entry/1948_Page_754 (3)_53.png', 'cd1948/entry/1948_Page_754 (3)_54.png', 'cd1948/entry/1948_Page_754 (3)_55.png', 'cd1948/entry/1948_Page_754 (3)_56.png']",HANOVER ST,"MANNING H A CO 104 Hanover Bos- ton 13, Mass tel CApitol 7-0657For further information see page 65 Buy- ers Guide"
16,"SCORE LESS THAN CUTOFF: Lincoln Boston, Mass,77.0,PROVIDENCE","['cd1948/entry/1948_Page_754 (3)_57.png', 'cd1948/entry/1948_Page_754 (3)_58.png', 'cd1948/entry/1948_Page_754 (3)_59.png']",LINCOLN AVE,"POLK RL & CO District Office 179 Lincoln Boston, Mass tel HAntock 6-6309"
17,"SCORE LESS THAN CUTOFF: Trayne bidg 268 _ Westminster,77.5,PROVIDENCE","['cd1948/entry/1948_Page_755 (1)_38.png', 'cd1948/entry/1948_Page_755 (1)_39.png']",WESTMINSTER ST,MILLER DWIGHT 18 Trayne bidg 268 _ Westminster tel UNion 2071
18,EMPTY STREET,"['cd1948/entry/1948_Page_755 (1)_52.png', 'cd1948/entry/1948_Page_755 (1)_53.png', 'cd1948/entry/1948_Page_755 (1)_54.png']",,? House st rm 506 ' osworth Clarence E 28-30 Arcade bldg -erry & Webb Broadcasting Co 15
