,Index,Address,City,Company_Name,Conf_Score,File_List,Header,Text
0,4,4 WESTMINSTER ST,PROVIDENCE,GARRAHAN WILLIAM H & CO,100.0,"['cd1941/entry/1941_Page_1125 (1)_24.png', 'cd1941/entry/1941_Page_1125 (1)_25.png', 'cd1941/entry/1941_Page_1125 (1)_26.png', 'cd1941/entry/1941_Page_1125 (1)_27.png']","* Academies (See Schools, Colleges & Acade- mies) *Accident Insurance",GARRAHAN WILLIAM H & CO 4 Westminster cor Dyer tels Dexter 8313 and 8314See page 54 Buyers Guide and right top lines
1,9,32 WESTMINSTER ST,PROVIDENCE,Arnold Howard B,100.0,"['cd1941/entry/1941_Page_1125 (2)_7.png', 'cd1941/entry/1941_Page_1125 (2)_8.png']",Accountants & Auditors,Arnold Howard B 32 Westminster rm 44
2,65,28 MASON AV,PROVIDENCE,CORP BROTHERS,100.0,"['cd1941/entry/1941_Page_1126 (1)_34.png', 'cd1941/entry/1941_Page_1126 (1)_35.png']",*Acetylene,CORP BROTHERS 28 Mason tel DEx- ter 8020See page 96 Buyers Guide
3,66,251 FOX POINT BLVD,PROVIDENCE,MANN GEORGE & CO Inc,100.0,"['cd1941/entry/1941_Page_1126 (1)_37.png', 'cd1941/entry/1941_Page_1126 (1)_38.png', 'cd1941/entry/1941_Page_1126 (1)_39.png']",*Acids,MANN GEORGE & CO Inc 251 Fox Point blvd tels GAspee 8466-67-68 See page 25 Buyers Guide
4,73,405 WEYBOSSET ST,PROVIDENCE,Adding Machine Service Co,100.0,"['cd1941/entry/1941_Page_1126 (1)_58.png', 'cd1941/entry/1941_Page_1126 (1)_59.png']","Adding, Calculating & Tabulat- ing Machines",Adding Machine Service Co 405 Wey- bosset (repairers)
5,84,360 FOURTH AV,PROVIDENCE,"POLK RL & CO, New York office 354-",100.0,"['cd1941/entry/1941_Page_1126 (2)_15.png', 'cd1941/entry/1941_Page_1126 (2)_16.png', 'cd1941/entry/1941_Page_1126 (2)_17.png']",*Addressing & Mailing,"POLK RL & CO, New York office 354- 360 Fourth av New York tel Cale- donia 5-8500"
6,119,1565 PROVIDENCE ST,PROVIDENCE, * Annealing NATIONAL RING TRAVELER CO,100.0,"['cd1941/entry/1941_Page_1127 (1)_36.png', 'cd1941/entry/1941_Page_1127 (1)_37.png']",*Analytical Chemists (See Chemists),"* Annealing
NATIONAL RING TRAVELER CO 354
Pine, Pawtucket and PO Box 1565,
Providence tel GAspee 4528See page 70 Buyers Guide"
7,124,9938 NORTH MAIN ST,PROVIDENCE,Carletons Antique Shop,100.0,['cd1941/entry/1941_Page_1127 (2)_4.png'],Antiques,Carletons Antique Shop 9938 N Main
8,166,14 EARL DR,PROVIDENCE,Earl Apartments The,100.0,['cd1941/entry/1941_Page_1127 (2)_54.png'],Apartment Buildings,Earl Apartments The 14 Earl
9,180,7 BROWNELL ST,PROVIDENCE,Hillcrest Apartments,100.0,['cd1941/entry/1941_Page_1127 (3)_6.png'],Apartment Buildings,Hillcrest Apartments 7 Brownell
10,184,142 IRVING ST,PROVIDENCE,Jacksonian The,87.0,['cd1941/entry/1941_Page_1127 (3)_10.png'],Apartment Buildings,Jacksonian The 142-146 Irving av
11,203,1894 SMITH ST,PROVIDENCE,Mohican Apartments,100.0,['cd1941/entry/1941_Page_1127 (3)_32.png'],Apartment Buildings,Mohican Apartments 1894 Smith
12,206,104 FRANKLIN ST,PROVIDENCE,Orlubo Apartments,100.0,['cd1941/entry/1941_Page_1127 (3)_36.png'],Apartment Buildings,Orlubo Apartments 104 Franklin
13,209,421 WEYBOSSET ST,PROVIDENCE,Paramount Apartments,100.0,['cd1941/entry/1941_Page_1127 (3)_40.png'],Apartment Buildings,Paramount Apartments 421 Weybosset
14,233,106 FRANKLIN ST,PROVIDENCE,Westminster Apartments,100.0,['cd1941/entry/1941_Page_1127 (3)_65.png'],Apartment Buildings,Westminster Apartments 106 Franklin
