,Drop_Reason,File_List,Street,Text
0,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_93 (1).chop_24.png'],N/A,
1,"SCORE LESS THAN CUTOFF: Eddy R712-13,75.0,PROVIDENCE",['cd1959/entry/1959_Page_93 (2).chop_12.png'],EDDY ST,Federal Tax Service 57 Eddy R712-13
2,"SCORE LESS THAN CUTOFF: HOWARD DETROIT 31, MICHIGAN,73.5,PROVIDENCE","['cd1959/entry/1959_Page_93 (3).chop_66.png', 'cd1959/entry/1959_Page_93 (3).chop_67.png', 'cd1959/entry/1959_Page_93 (3).chop_68.png']",MICHIGAN AVE,"POLK RL& CO 431 HOWARD DETROIT 31, MICHIGAN"
3,"SCORE LESS THAN CUTOFF: -72 Gansett av, Cranston,,76.5,PROVIDENCE","['cd1959/entry/1959_Page_94 (2)_26.png', 'cd1959/entry/1959_Page_94 (2)_27.png', 'cd1959/entry/1959_Page_94 (2)_28.png', 'cd1959/entry/1959_Page_94 (2)_29.png', 'cd1959/entry/1959_Page_94 (2)_30.png']",CRANSTON ST,"EMMA ANTHONY HEATING CO INC (Plumbing, Heating-Gas & Oil Burners Sales & Service), 68-72 Gansett av, Cranston, Tel UNion 1-1511 (See Yellow Page 39)"
4,FAILED TO PARSE AN ADDRESS,"['cd1959/entry/1959_Page_94 (2)_32.png', 'cd1959/entry/1959_Page_94 (2)_33.png']",N/A,American Airlines Inc Sheraton- Biltmore (mezzanine)
5,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_94 (2)_34.png'],N/A,Eastern Air Lines Inc Biltmore Hotel
6,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_94 (2)_35.png'],N/A,National Airlines Inc Sheraton- Biltmore
7,FAILED TO PARSE AN ADDRESS,"['cd1959/entry/1959_Page_94 (3)_21.png', 'cd1959/entry/1959_Page_94 (3)_22.png']",N/A,(See also Parks and Playgrounds in Index to Contents and Classified Section)
8,"SCORE LESS THAN CUTOFF: Manton, Pawtucket,70.0,PROVIDENCE","['cd1959/entry/1959_Page_94 (3)_24.png', 'cd1959/entry/1959_Page_94 (3)_25.png', 'cd1959/entry/1959_Page_94 (3)_26.png']",PAWTUXET AV,"NARRAGANSETT PARK~-HORSE RACING, 49 Manton, Pawtucket"
9,"SCORE LESS THAN CUTOFF: Waterman av, East Prov,,77.5,PROVIDENCE","['cd1959/entry/1959_Page_94 (3)_32.png', 'cd1959/entry/1959_Page_94 (3)_33.png', 'cd1959/entry/1959_Page_94 (3)_34.png']",WATERMAN ST,"PHOENIX MUTUAL LIFE INSURANCE CO, 312 Waterman av, East Prov, Tel GEne- va 4-6700 (See Yellow Page .50)"
10,FAILED TO PARSE AN ADDRESS,"['cd1959/entry/1959_Page_94 (3)_36.png', 'cd1959/entry/1959_Page_94 (3)_37.png', 'cd1959/entry/1959_Page_94 (3)_38.png']",N/A,"MASSACHUSETTS MUTUAL LIFE INSUR- ANCE CO, Turks Head Bldg. Tel GAspee 1-2672 (See Yellow Page 43)"
11,"SCORE LESS THAN CUTOFF: Broad ANTIQUESDEALERS and,54.0,PROVIDENCE","['cd1959/entry/1959_Page_94 (3)_40.png', 'cd1959/entry/1959_Page_94 (3)_41.png']",AUSDALE RD,Mulholland  Antenna Service 1030 Broad ANTIQUESDEALERS and
12,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_95 (1)_1.png'],N/A,APARTMENT BUILDINGS Contd
13,"SCORE LESS THAN CUTOFF: Burrill,73,PROVIDENCE",['cd1959/entry/1959_Page_95 (1)_12.png'],RILL ST,Central Apartments 21 Burrill
14,EMPTY STREET,['cd1959/entry/1959_Page_95 (1)_15.png'],,Ciccone John T Estes [55 Elmwood av
15,"SCORE LESS THAN CUTOFF: -106 E Man-,78.5,PROVIDENCE","['cd1959/entry/1959_Page_95 (1)_80.png', 'cd1959/entry/1959_Page_95 (1)_81.png']",EAST PARK ST,Manning Garden Apartments 96-106 E Man-
16,"SCORE LESS THAN CUTOFF: Main, Pawtucket,,73.0,PROVIDENCE","['cd1959/entry/1959_Page_95 (2)_51.png', 'cd1959/entry/1959_Page_95 (2)_52.png', 'cd1959/entry/1959_Page_95 (2)_53.png']",PAWTUXET AV,"GALLAGHER MATTHEW J AGENCY INC, 347 Main, Pawtucket, Tel PAwtucket 3-1290, Blackstone Valley and Attleboros"
17,"SCORE LESS THAN CUTOFF: Geo M Cohan blvd,54.5,PROVIDENCE",['cd1959/entry/1959_Page_95 (3)_23.png'],GEORGE M COHAN BLVD,Markoff Henry W 271 Geo M Cohan blvd
18,"SCORE LESS THAN CUTOFF: Washington R510 ARTIFICIAL FLOWERS FRUIT,72.5,PROVIDENCE","['cd1959/entry/1959_Page_95 (3)_48.png', 'cd1959/entry/1959_Page_95 (3)_49.png']",WASHINGTON PL,Smith Dwayne P 44 Washington R510 ARTIFICIAL FLOWERS and FRUIT
19,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_96 (1)_1.png'],N/A,ARTISTSCOMMERCIALContd
20,"SCORE LESS THAN CUTOFF: Westminster R304 ASBESTOS GOODS MATERIALS,71.0,PROVIDENCE","['cd1959/entry/1959_Page_96 (1)_30.png', 'cd1959/entry/1959_Page_96 (1)_31.png', 'cd1959/entry/1959_Page_96 (1)_32.png']",WESTMINSTER ST,Schloss Betty Handicraft Studio 187 West- minster R304 ASBESTOS GOODS and MATERIALS
21,"SCORE LESS THAN CUTOFF: 5S Main,71.0,PROVIDENCE",['cd1959/entry/1959_Page_96 (1)_37.png'],MAIDEN LN,Rhode Island Covering Co 351 5S Main
22,"SCORE LESS THAN CUTOFF: Shawmut,73,PROVIDENCE",['cd1959/entry/1959_Page_96 (1)_48.png'],SHAW ST,Jacksons Ash Removal Service 28 Shawmut
23,FAILED TO PARSE AN ADDRESS,"['cd1959/entry/1959_Page_96 (1)_57.png', 'cd1959/entry/1959_Page_96 (1)_58.png', 'cd1959/entry/1959_Page_96 (1)_59.png']",N/A,"GAMMINO M A CONSTRUCTION CO INC, Ernest street, Tel GAspee 1-2644 (See Yellow Page 26)"
24,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_96 (1)_62.png'],N/A,(See also Organizations)
25,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_96 (1)_71.png'],N/A,"(See also Clubs, also Organizations)"
26,FAILED TO PARSE AN ADDRESS,['cd1959/entry/1959_Page_96 (2)_2.png'],N/A,(See also Law Offices)
27,FAILED TO PARSE AN ADDRESS,"['cd1959/entry/1959_Page_96 (2)_5.png', 'cd1959/entry/1959_Page_96 (2)_6.png', 'cd1959/entry/1959_Page_96 (2)_7.png']",N/A,"minster, Tel GAspee 1-2154
Clifford Sidney (Sherwood & Clifford), 1003 Turks Head Bldg 76 Westminster, Tei GAspee 1-2154"
28,"SCORE LESS THAN CUTOFF: Turks Head Bidg 76 Westminster,,77.0,PROVIDENCE","['cd1959/entry/1959_Page_96 (2)_10.png', 'cd1959/entry/1959_Page_96 (2)_11.png', 'cd1959/entry/1959_Page_96 (2)_12.png']",WESTMINSTER ST,"Curran William A Associate (Sherwood & Clifford), 1003 Turks Head Bidg 76 West- minster, Tel GAspee 1-2154"
29,"SCORE LESS THAN CUTOFF: Hospital Trust Bidg 15 Westminster,,74.5,PROVIDENCE","['cd1959/entry/1959_Page_96 (2)_24.png', 'cd1959/entry/1959_Page_96 (2)_25.png']",WESTMINSTER ST,"Hart. Lark & Lovell, 1139 Hospital Trust Bidg 15 Westminster, Tel GAspee 1-8940"
30,"SCORE LESS THAN CUTOFF: Ferris av,68.0,PROVIDENCE","['cd1959/entry/1959_Page_96 (2)_57.png', 'cd1959/entry/1959_Page_96 (2)_58.png', 'cd1959/entry/1959_Page_96 (2)_59.png']",PERKINS AV,"LETTER SHOP THE, 272 Ferris av EP (Prov 16), Tel GEneva 4-9100 AUTOMOBILE ACCESSORIES and"
